fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:04:06.828174,Hacienda Rumipamba,8.33,8.33,8.33,8.33,94,0,lluvia moderada,-0.1807,-78.4678
2025-10-27T14:19:37.513429,Hacienda Rumipamba,12.33,11.63,12.33,12.33,77,1.03,lluvia ligera,-0.1807,-78.4678
2025-10-27T22:17:01.832261,Hacienda Rumipamba,11.33,10.97,11.33,11.33,94,1.54,lluvia ligera,-0.1807,-78.4678
2025-10-28T06:27:27.096534,Hacienda Rumipamba,9.33,8.84,9.33,9.33,100,1.54,bruma,-0.1807,-78.4678
2025-10-28T06:41:46.847063,Hacienda Rumipamba,9.33,8.84,9.33,9.33,100,1.54,bruma,-0.1807,-78.4678
2025-10-28T14:19:27.119963,Hacienda Rumipamba,11.33,10.82,11.33,11.33,88,1.54,bruma,-0.1807,-78.4678
2025-10-28T22:18:09.366725,Hacienda Rumipamba,13.33,12.86,13.33,13.33,82,5.66,lluvia moderada,-0.1807,-78.4678
2025-10-29T06:27:49.982704,Hacienda Rumipamba,9.33,8.84,9.33,9.33,100,1.54,nubes,-0.1807,-78.4678
2025-10-29T06:46:48.082476,Hacienda Rumipamba,9.33,8.84,9.33,9.33,100,1.54,nubes,-0.1807,-78.4678
2025-10-29T06:52:29.308343,Hacienda Rumipamba,9.33,8.84,9.33,9.33,100,1.54,nubes,-0.1807,-78.4678
2025-10-29T06:59:19.451957,Hacienda Rumipamba,9.33,8.84,9.33,9.33,100,1.54,nubes,-0.1807,-78.4678
2025-10-29T07:03:28.305070,Hacienda Rumipamba,9.33,8.84,9.33,9.33,100,1.54,nubes,-0.1807,-78.4678
2025-10-29T07:11:00.446729,Hacienda Rumipamba,9.33,9.33,9.33,9.33,94,1.03,nubes,-0.1807,-78.4678
2025-10-29T14:19:25.371560,Hacienda Rumipamba,11.33,10.82,11.33,11.33,88,0,bruma,-0.1807,-78.4678
2025-10-29T22:17:45.257938,Hacienda Rumipamba,12.33,11.5,12.33,12.33,72,1.03,lluvia ligera,-0.1807,-78.4678
2025-10-30T06:26:20.371837,Hacienda Rumipamba,8.33,7.19,8.33,8.33,87,2.06,muy nuboso,-0.1807,-78.4678
2025-10-30T14:18:29.809215,Hacienda Rumipamba,14.33,13.59,14.33,14.33,68,1.54,nubes dispersas,-0.1807,-78.4678
2025-10-30T22:17:31.363103,Hacienda Rumipamba,10.33,9.72,10.33,10.33,88,2.06,lluvia ligera,-0.1807,-78.4678
2025-10-31T06:26:33.085431,Hacienda Rumipamba,5.33,5.33,5.33,5.33,93,1.03,nubes dispersas,-0.1807,-78.4678
2025-10-31T14:18:35.214479,Hacienda Rumipamba,13.33,12.47,13.33,13.33,67,1.54,nubes dispersas,-0.1807,-78.4678
2025-10-31T22:17:24.966034,Hacienda Rumipamba,10.33,9.56,10.33,10.33,82,2.57,tormenta con lluvia ligera,-0.1807,-78.4678
2025-11-01T06:23:53.001651,Hacienda Rumipamba,7.33,7.33,7.33,7.33,93,0,bruma,-0.1807,-78.4678
2025-11-01T14:15:33.033490,Hacienda Rumipamba,13.33,12.6,13.33,13.33,72,1.54,muy nuboso,-0.1807,-78.4678
2025-11-01T22:16:10.570063,Hacienda Rumipamba,12.63,12.25,12.63,12.63,88,3.6,lluvia moderada,-0.1766,-78.4713
2025-11-02T06:24:55.400325,Hacienda Rumipamba,9.33,8.84,9.33,9.33,94,1.54,bruma,-0.1807,-78.4678
