fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:02:36.399432,London,9.7,6.5,8.86,10.08,80,7.2,cielo claro,51.5072,-0.1276
2025-10-27T14:18:03.514002,London,13.74,12.76,12.83,14.45,61,9.26,algo de nubes,51.5072,-0.1276
2025-10-27T22:15:30.759239,London,11.64,10.92,10.53,12.38,79,4.63,nubes,51.5072,-0.1276
2025-10-28T06:25:52.656868,London,12.27,11.8,11.47,12.97,86,7.2,lluvia ligera,51.5072,-0.1276
2025-10-28T06:40:15.107770,London,11.93,11.5,11.08,12.97,89,6.69,lluvia ligera,51.5072,-0.1276
2025-10-28T14:17:49.533716,London,14.9,14.06,14.21,15.59,62,7.72,nubes dispersas,51.5072,-0.1276
2025-10-28T22:16:31.107185,London,11.77,10.99,10.53,12.29,76,4.02,nubes,51.5072,-0.1276
2025-10-29T06:26:15.273356,London,11.72,11.17,10.59,12.29,85,3.6,muy nuboso,51.5072,-0.1276
2025-10-29T06:45:08.552889,London,11.49,10.91,10.57,12.29,85,3.09,muy nuboso,51.5072,-0.1276
2025-10-29T06:50:49.728756,London,11.57,11,10.57,12.31,85,3.09,muy nuboso,51.5072,-0.1276
2025-10-29T06:57:45.989855,London,11.57,11,10.57,12.31,85,3.09,muy nuboso,51.5072,-0.1276
2025-10-29T07:01:56.680034,London,11.57,11,10.57,12.31,85,3.09,muy nuboso,51.5072,-0.1276
2025-10-29T07:09:28.838466,London,11.67,11.11,10.59,12.31,85,3.09,muy nuboso,51.5072,-0.1276
2025-10-29T14:17:54.848686,London,12.1,11.74,11.01,12.8,91,2.06,lluvia ligera,51.5072,-0.1276
2025-10-29T22:16:07.892000,London,8.17,5.96,6.56,9.05,91,3.6,nubes dispersas,51.5072,-0.1276
2025-10-30T06:24:48.902420,London,5.55,5.55,4.08,6.74,93,0.89,cielo claro,51.5072,-0.1276
2025-10-30T14:16:55.900638,London,12.96,12.35,11.97,13.49,78,3.13,muy nuboso,51.5072,-0.1276
2025-10-30T22:15:57.425629,London,12.08,11.51,11.14,13.3,83,4.63,muy nuboso,51.5072,-0.1276
2025-10-31T06:25:02.571918,London,13.77,13.53,12.81,14.21,89,4.12,muy nuboso,51.5072,-0.1276
