fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:03:37.861330,Tehran,19.94,18.56,19.94,20.1,22,2.06,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-10-27T14:19:07.384726,Tehran,23.83,22.69,23.83,24.1,16,8.23,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-10-27T22:16:32.730170,Tehran,17.1,15.62,17.1,17.1,29,2.06,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-10-28T06:26:56.850965,Tehran,20.5,19.1,20.5,21.1,19,0.0,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-10-28T06:41:17.239285,Tehran,20.5,19.1,20.5,24.1,19,1.03,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-10-28T14:18:55.896812,Tehran,23.83,22.69,23.83,24.1,16,2.06,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-10-28T22:17:37.915206,Tehran,17.1,15.68,17.1,17.1,31,3.09,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-10-29T06:27:19.690352,Tehran,22.72,21.49,22.72,23.1,17,3.09,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-10-29T06:46:16.215030,Tehran,22.72,21.52,22.72,23.1,18,2.06,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-10-29T06:51:57.409901,Tehran,22.72,21.52,22.72,23.1,18,2.06,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-10-29T06:58:49.489027,Tehran,22.72,21.52,22.72,23.1,18,2.06,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-10-29T07:02:58.998877,Tehran,22.72,21.52,22.72,23.1,18,2.06,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-10-29T07:10:31.125989,Tehran,22.72,21.52,22.72,23.1,18,2.06,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-10-29T14:18:56.355761,Tehran,23.83,22.71,23.83,24.1,17,3.09,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-10-29T22:17:14.144200,Tehran,18.83,17.21,18.83,19.1,17,2.06,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-10-30T06:25:51.076058,Tehran,21.61,20.22,21.61,22.1,15,2.06,algo de nubes,35.6892,51.389,0,10000,0.0,0.0
2025-10-30T14:17:59.730372,Tehran,23.83,22.53,23.83,24.1,10,4.12,algo de nubes,35.6892,51.389,0,10000,0.0,0.0
2025-10-30T22:17:01.347498,Tehran,14.1,12.98,14.1,14.1,54,5.14,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-10-31T06:26:04.103016,Tehran,19.94,18.77,19.94,20.1,30,0.0,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-10-31T14:18:05.183090,Tehran,19.94,18.72,19.94,20.1,28,2.06,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-10-31T22:16:55.976389,Tehran,14.94,13.64,14.94,15.1,44,0.0,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-01T06:23:23.077314,Tehran,19.94,18.67,19.94,20.1,26,2.06,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-01T14:15:02.695984,Tehran,21.61,20.43,21.61,22.1,23,3.09,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-01T22:15:40.662622,Tehran,15.5,13.92,15.5,16.1,31,3.09,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-02T06:24:25.457402,Tehran,20.5,19.28,20.5,21.1,26,0.0,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-02T14:15:20.540152,Tehran,21.61,20.45,21.61,22.1,24,3.09,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-02T22:15:59.322486,Tehran,13.83,12.05,13.83,14.1,30,3.09,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-03T06:27:44.880833,Tehran,13.83,12.57,13.83,14.1,50,3.09,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-03T14:18:19.302568,Tehran,18.83,17.29,18.83,19.1,20,3.09,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-03T22:17:47.420678,Tehran,14.94,13.35,14.94,15.1,33,2.06,nubes dispersas,35.6892,51.389,0,10000,0.0,0.0
2025-11-04T06:26:48.680818,Tehran,11.61,9.87,11.61,12.1,40,3.09,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-04T14:18:51.818798,Tehran,15.5,13.97,15.5,16.1,33,3.09,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-04T22:16:45.149090,Tehran,10.5,8.73,10.5,11.1,43,2.06,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-05T06:26:49.169167,Tehran,14.94,13.27,14.94,15.1,30,2.06,nubes dispersas,35.6892,51.389,0,10000,0.0,0.0
2025-11-05T07:02:26.446831,Tehran,14.94,13.27,14.94,15.1,30,11.124,algo de nubes,35.6892,51.389,0,10000,0.0,0.0
2025-11-05T07:18:25.035082,Tehran,14.94,13.27,14.94,15.1,30,9.252,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-05T14:21:24.903456,Tehran,15.5,13.86,15.5,16.1,29,9.252,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-05T22:19:59.033111,Tehran,10.5,8.81,10.5,11.1,46,7.416,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-06T06:29:21.043783,Tehran,14.94,13.27,14.94,15.1,30,7.416,algo de nubes,35.6892,51.389,0,10000,0.0,0.0
2025-11-06T07:00:40.463519,Tehran,15.5,13.86,15.5,16.1,29,11.124,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-06T07:09:09.042129,Tehran,15.5,13.86,15.5,16.1,29,11.124,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-06T07:21:31.316695,Tehran,15.5,13.78,15.5,16.1,26,7.416,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-06T14:21:29.806841,Tehran,16.61,14.93,16.61,17.1,23,11.124,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-06T22:19:51.530006,Tehran,11.1,9.23,11.1,11.1,37,7.416,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-07T06:28:57.254888,Tehran,16.61,14.98,16.61,17.1,25,7.416,niebla,35.6892,51.389,0,10000,0.0,0.0
2025-11-07T14:20:25.123098,Tehran,17.72,16.12,17.72,18.1,22,7.416,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-07T22:19:00.922486,Tehran,12.1,10.41,12.1,12.1,40,7.416,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-08T06:25:57.461468,Tehran,16.61,14.93,16.61,17.1,23,7.416,algo de nubes,35.6892,51.389,0,10000,0.0,0.0
2025-11-08T21:38:32.974559,Tehran,12.72,10.88,12.72,13.1,32,7.416,cielo claro,35.6892,51.389,0,8000,0.0,0.0
2025-11-08T22:18:39.309827,Tehran,13.83,12,13.83,14.1,28,7.416,cielo claro,35.6892,51.389,0,8000,0.0,0.0
2025-11-09T06:26:58.284865,Tehran,17.72,16.07,17.72,18.1,20,0.0,cielo claro,35.6892,51.389,0,7000,0.0,0.0
2025-11-09T14:17:40.316919,Tehran,19.94,18.46,19.94,20.1,18,7.416,cielo claro,35.6892,51.389,0,7000,0.0,0.0
2025-11-09T22:18:48.729723,Tehran,13.83,11.95,13.83,14.1,26,5.5440000000000005,cielo claro,35.6892,51.389,0,4500,0.0,0.0
2025-11-10T06:30:56.547549,Tehran,17.72,16.02,17.72,18.1,18,11.124,cielo claro,35.6892,51.389,0,7000,0.0,0.0
2025-11-10T07:00:17.282890,Tehran,18.83,17.26,18.83,19.1,19,7.416,cielo claro,35.6892,51.389,0,7000,0.0,0.0
2025-11-10T07:08:46.128143,Tehran,18.83,17.26,18.83,19.1,19,7.416,cielo claro,35.6892,51.389,0,7000,0.0,0.0
2025-11-10T14:21:38.728112,Tehran,18.83,17.16,18.83,19.1,15,7.416,niebla,35.6892,51.389,0,5000,0.0,0.0
2025-11-10T22:20:46.975597,Tehran,12.72,10.83,12.72,13.1,30,0.0,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-11T06:29:37.414263,Tehran,18.83,17.19,18.83,19.1,16,0.0,cielo claro,35.6892,51.389,0,8000,0.0,0.0
2025-11-11T14:21:06.362027,Tehran,17.72,16.02,17.72,18.1,18,11.124,cielo claro,35.6892,51.389,0,10000,0.0,0.0
2025-11-11T22:20:02.734308,Tehran,12.1,10.15,12.1,12.1,30,0.0,cielo claro,35.6892,51.389,0,10000,0.0,0.0
