fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:03:05.373490,Kolej,16.71,15.85,11.43,16.71,54,5.21,cielo claro,39.9334,32.8597
2025-10-27T14:18:33.600935,Ulus,24.22,23.56,22.68,24.59,33,5.66,cielo claro,39.9334,32.8597
2025-10-27T22:16:00.065891,Kolej,18.93,18.18,18.43,18.93,50,3.58,muy nuboso,39.9334,32.8597
2025-10-28T06:26:22.929860,Ulus,15.13,14.34,14.43,15.59,63,3.09,lluvia ligera,39.9334,32.8597
2025-10-28T06:40:44.423420,Kolej,15.45,14.7,14.51,15.6,63,3.09,lluvia ligera,39.9334,32.8597
2025-10-28T14:18:20.825188,Kolej,18.13,17.54,16.68,18.38,59,4.63,lluvia ligera,39.9334,32.8597
2025-10-28T22:17:02.613929,Kolej,11.71,11.21,11.43,11.71,87,0.89,lluvia moderada,39.9334,32.8597
2025-10-29T06:26:45.584254,Ulus,9.8,8.91,8.68,10.04,84,2.06,nubes dispersas,39.9334,32.8597
2025-10-29T06:45:40.483440,Ulus,9.82,8.93,8.68,10.43,82,2.06,nubes dispersas,39.9334,32.8597
2025-10-29T06:51:21.663772,Ulus,9.82,8.93,8.68,10.43,82,2.06,nubes dispersas,39.9334,32.8597
2025-10-29T06:58:15.936950,Ulus,10.04,9.06,10.04,10.43,75,2.24,cielo claro,39.9334,32.8597
2025-10-29T07:02:26.064204,Ulus,10.04,9.06,10.04,10.43,75,2.24,cielo claro,39.9334,32.8597
2025-10-29T07:09:58.191361,Ulus,10.04,8.9,10.04,10.43,69,2.24,cielo claro,39.9334,32.8597
2025-10-29T14:18:23.850936,Kolej,13.51,12.25,12.82,14.59,51,1.54,algo de nubes,39.9334,32.8597
2025-10-29T22:16:39.083229,Kolej,4,4,2.68,5.43,97,0,cielo claro,39.9334,32.8597
2025-10-30T06:25:18.229142,Kolej,4.56,4.56,4.43,4.68,96,1.03,cielo claro,39.9334,32.8597
2025-10-30T14:17:26.065599,Kolej,17.39,16.15,16.43,17.59,37,1.03,cielo claro,39.9334,32.8597
