fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:01:29.576621,Ciudad Real,7.21,7.21,0.96,7.21,83,0.89,cielo claro,38.9863,-3.9213
2025-10-27T14:16:54.820860,Ciudad Real,19.32,18.27,18.78,19.43,37,1.54,cielo claro,38.9863,-3.9213
2025-10-27T22:14:24.238799,Ciudad Real,11.1,9.81,5.96,11.1,59,0.51,cielo claro,38.9863,-3.9213
2025-10-28T06:24:43.617589,Ciudad Real,1.96,1.96,1.96,1.96,100,0.51,cielo claro,38.9863,-3.9213
2025-10-28T06:39:08.148652,Ciudad Real,1.96,1.96,1.96,1.96,100,0.51,cielo claro,38.9863,-3.9213
2025-10-28T14:16:38.245271,Ciudad Real,21.03,20.31,20.55,21.69,43,2.57,cielo claro,38.9863,-3.9213
2025-10-28T22:15:19.332646,Ciudad Real,16.68,16.57,16,17.21,83,2.06,lluvia ligera,38.9863,-3.9213
2025-10-29T06:25:06.138300,Ciudad Real,14.99,14.97,14.89,15.02,93,1.79,lluvia moderada,38.9863,-3.9213
2025-10-29T06:43:55.760757,Ciudad Real,14.99,14.97,14.89,15.02,93,1.34,lluvia moderada,38.9863,-3.9213
2025-10-29T06:49:36.961290,Ciudad Real,14.93,14.91,14.33,15.02,93,1.34,lluvia moderada,38.9863,-3.9213
2025-10-29T06:56:37.636213,Ciudad Real,14.93,14.91,14.33,15.02,93,1.79,lluvia ligera,38.9863,-3.9213
2025-10-29T07:00:47.712249,Ciudad Real,14.93,14.91,14.33,15.02,93,1.03,lluvia ligera,38.9863,-3.9213
2025-10-29T07:08:21.882507,Ciudad Real,14.93,14.91,14.33,15.02,93,1.03,lluvia ligera,38.9863,-3.9213
2025-10-29T14:16:48.472659,Ciudad Real,13.96,13.92,13.88,14.96,96,2.06,lluvia de gran intensidad,38.9863,-3.9213
2025-10-29T22:14:56.754481,Ciudad Real,12.57,12.42,11.56,12.77,97,0,niebla,38.9863,-3.9213
2025-10-30T06:23:42.141938,Ciudad Real,13.31,13.28,12.96,13.32,99,0.89,nubes,38.9863,-3.9213
2025-10-30T14:15:47.164166,Ciudad Real,17.85,17.57,17.77,18.22,72,4.02,muy nuboso,38.9863,-3.9213
2025-10-30T22:14:48.495984,Ciudad Real,14.32,14.11,13.78,14.96,88,1.54,muy nuboso,38.9863,-3.9213
2025-10-31T06:23:56.218478,Ciudad Real,13.21,13.07,12.67,13.32,95,1.54,muy nuboso,38.9863,-3.9213
2025-10-31T14:15:52.625886,Ciudad Real,18.96,18.5,18.88,19.33,61,4.02,muy nuboso,38.9863,-3.9213
2025-10-31T22:14:47.911031,Ciudad Real,13.31,12.94,12.96,13.32,86,1.03,cielo claro,38.9863,-3.9213
2025-11-01T06:21:11.099687,Ciudad Real,10.9,10.5,8.96,11.1,94,2.06,algo de nubes,38.9863,-3.9213
2025-11-01T14:12:49.193645,Ciudad Real,19.42,18.83,19.33,19.96,54,5.36,nubes dispersas,38.9863,-3.9213
