fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:02:57.266889,Vaduz,4.59,1.85,3.12,6.46,87,3.22,lluvia ligera,47.141,9.5215,0,10000,0.0,0.0
2025-10-27T14:18:25.199843,Vaduz,6.47,6.47,5.9,6.62,91,0.54,lluvia moderada,47.141,9.5215,0,10000,0.0,0.0
2025-10-27T22:15:51.893675,Vaduz,6.94,6.94,6.46,7.0,92,1.11,lluvia ligera,47.141,9.5215,0,10000,0.0,0.0
2025-10-28T06:26:14.460758,Vaduz,5.26,2.82,4.79,6.06,94,3.0,nubes,47.141,9.5215,0,10000,0.0,0.0
2025-10-28T06:40:36.219143,Vaduz,5.26,2.83,4.79,6.06,94,2.99,nubes,47.141,9.5215,0,10000,0.0,0.0
2025-10-28T14:18:12.064976,Vaduz,13.69,12.71,13.67,14.79,61,1.33,nubes dispersas,47.141,9.5215,0,10000,0.0,0.0
2025-10-28T22:16:53.815034,Vaduz,6.65,4.53,6.45,8.09,89,2.94,algo de nubes,47.141,9.5215,0,10000,0.0,0.0
2025-10-29T06:26:37.103250,Vaduz,2.78,-0.92,2.56,7.54,91,4.09,nubes dispersas,47.141,9.5215,0,10000,0.0,0.0
2025-10-29T06:45:31.548548,Vaduz,8.39,5.87,7.54,9.99,65,4.33,nubes,47.141,9.5215,0,10000,0.0,0.0
2025-10-29T06:51:12.730910,Vaduz,8.39,5.87,7.54,10.54,65,4.33,nubes,47.141,9.5215,0,10000,0.0,0.0
2025-10-29T06:58:07.537793,Vaduz,9.23,6.91,7.54,9.23,56,4.33,nubes,47.141,9.5215,0,10000,0.0,0.0
2025-10-29T07:02:17.855165,Vaduz,9.23,6.91,8.65,9.23,56,4.33,nubes,47.141,9.5215,0,10000,0.0,0.0
2025-10-29T07:09:49.963517,Vaduz,8.68,6.23,8.65,8.68,55,4.33,nubes,47.141,9.5215,0,10000,0.0,0.0
2025-10-29T14:18:15.734598,Vaduz,14.05,13.26,13.28,14.79,67,5.06,nubes,47.141,9.5215,0,10000,0.0,0.0
2025-10-29T22:16:30.313260,Vaduz,10.25,9.34,10.25,10.25,77,5.16,lluvia ligera,47.141,9.5215,0,10000,0.0,0.0
2025-10-30T06:25:10.017998,Vaduz,11.32,10.65,10.35,12.54,82,2.98,lluvia ligera,47.141,9.5215,0,10000,0.0,0.0
2025-10-30T14:17:17.627901,Vaduz,12.52,11.97,11.45,14.76,82,1.57,nubes,47.141,9.5215,0,10000,0.0,0.0
2025-10-30T22:16:19.115299,Vaduz,9.05,6.95,8.68,10.32,87,3.76,muy nuboso,47.141,9.5215,0,10000,0.0,0.0
2025-10-31T06:25:23.483291,Vaduz,8.54,6.45,6.46,10.34,82,3.53,muy nuboso,47.141,9.5215,0,10000,0.0,0.0
2025-10-31T14:17:22.869338,Vaduz,17.54,17.33,14.43,17.54,76,0.92,nubes,47.141,9.5215,0,10000,0.0,0.0
2025-10-31T22:16:15.207871,Vaduz,10.92,10.29,9.22,13.88,85,3.37,nubes,47.141,9.5215,0,10000,0.0,0.0
2025-11-01T06:22:41.090237,Vaduz,13.12,12.26,12.54,13.12,68,4.31,nubes,47.141,9.5215,0,10000,0.0,0.0
2025-11-01T14:14:20.214790,Vaduz,17.19,16.71,16.45,19.2,67,3.2,nubes,47.141,9.5215,0,10000,0.0,0.0
2025-11-01T22:14:58.659338,Vaduz,11.54,11.02,10.34,12.57,87,2.69,nubes,47.141,9.5215,0,10000,0.0,0.0
2025-11-02T06:23:43.446467,Vaduz,10.31,9.82,9.78,10.9,93,1.39,lluvia ligera,47.141,9.5215,0,10000,0.0,0.0
2025-11-02T14:14:36.031764,Vaduz,10.17,9.64,9.79,11.39,92,0.1,lluvia moderada,47.141,9.5215,0,10000,0.0,0.0
2025-11-02T22:15:17.352142,Vaduz,7.97,7.31,7.57,9.2,91,1.52,nubes,47.141,9.5215,0,10000,0.0,0.0
2025-11-03T06:27:01.221189,Vaduz,5.8,5.8,5.51,6.95,92,0.54,muy nuboso,47.141,9.5215,0,10000,0.0,0.0
2025-11-03T14:17:37.343201,Vaduz,12.55,11.79,12.17,13.68,74,1.2,nubes dispersas,47.141,9.5215,0,10000,0.0,0.0
2025-11-03T22:17:06.243300,Vaduz,5.18,2.41,4.78,5.9,81,3.45,cielo claro,47.141,9.5215,0,10000,0.0,0.0
2025-11-04T06:26:08.052861,Vaduz,2.97,-0.53,2.17,3.11,90,3.83,cielo claro,47.141,9.5215,0,10000,0.0,0.0
2025-11-04T14:18:10.688278,Vaduz,12.18,11.31,12.0,16.39,71,0.4,cielo claro,47.141,9.5215,0,10000,0.0,0.0
2025-11-04T22:16:03.878816,Vaduz,9.78,7.69,9.76,11.1,62,4.09,nubes dispersas,47.141,9.5215,0,10000,0.0,0.0
2025-11-05T06:26:05.161197,Vaduz,7.57,5.04,6.43,7.57,63,3.95,algo de nubes,47.141,9.5215,0,10000,0.0,0.0
2025-11-05T07:01:01.659241,Vaduz,8.12,5.65,8.09,8.12,62,14.688,muy nuboso,47.141,9.5215,0,10000,0.0,0.0
2025-11-05T07:16:55.748329,Vaduz,9.23,7.02,8.09,9.23,60,14.688,muy nuboso,47.141,9.5215,0,10000,0.0,0.0
2025-11-05T14:19:59.048160,Vaduz,17.54,16.63,14.43,17.54,49,5.328,nubes,47.141,9.5215,0,10000,0.0,0.0
