fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:04:01.034795,Houston,18.9,19.2,18.39,19.97,90,1.44,cielo claro,29.7604,-95.3698
2025-10-27T14:19:31.517083,Houston,20.15,20.62,19.44,21.99,92,3.6,algo de nubes,29.7604,-95.3698
2025-10-27T22:16:56.027920,Houston,29.85,31.64,27.75,31.15,55,5.66,cielo claro,29.7604,-95.3698
2025-10-28T06:27:21.053597,Houston,22.22,22.85,20.99,22.83,90,5.66,cielo claro,29.7604,-95.3698
2025-10-28T06:41:40.981981,Houston,22.16,22.78,20.99,22.83,90,5.66,cielo claro,29.7604,-95.3698
2025-10-28T14:19:20.869799,Houston,23.44,24.09,22.18,24.48,86,5.14,nubes,29.7604,-95.3698
2025-10-28T22:18:03.058094,Houston,26.2,26.2,24.39,27.84,86,3.09,nubes dispersas,29.7604,-95.3698
2025-10-29T06:27:43.926665,Houston,17.42,16.81,16.63,17.99,61,12.35,cielo claro,29.7604,-95.3698
2025-10-29T06:46:41.703883,Houston,17.11,16.47,16.62,17.99,61,9.77,cielo claro,29.7604,-95.3698
2025-10-29T06:52:22.934071,Houston,17.04,16.39,16.17,17.99,61,9.77,algo de nubes,29.7604,-95.3698
2025-10-29T06:59:13.439827,Houston,17.02,16.34,16.17,17.99,60,9.77,algo de nubes,29.7604,-95.3698
2025-10-29T07:03:22.439452,Houston,16.98,16.33,16.12,17.83,61,5.66,algo de nubes,29.7604,-95.3698
2025-10-29T07:10:54.578094,Houston,16.84,16.12,16.07,17.28,59,12.86,algo de nubes,29.7604,-95.3698
2025-10-29T14:19:19.541913,Houston,14.6,13.63,13.88,15.55,58,6.17,cielo claro,29.7604,-95.3698
2025-10-29T22:17:39.029078,Houston,20.06,18.88,19.46,21.17,29,10.8,cielo claro,29.7604,-95.3698
