fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:02:22.494609,Bern,5.89,2.49,4.58,7.47,81,4.92,lluvia ligera,46.948,7.4474,0,10000,0.0,0.0
2025-10-27T14:17:49.092541,Bern,9.62,6.54,9.09,10.08,71,6.69,muy nuboso,46.948,7.4474,0,10000,0.0,0.0
2025-10-27T22:15:16.787806,Bern,8.8,7.28,7.42,10.24,77,2.68,algo de nubes,46.948,7.4474,0,10000,0.0,0.0
2025-10-28T06:25:38.149328,Bern,6.62,4.39,5.7,8.61,70,3.09,nubes dispersas,46.948,7.4474,0,10000,0.0,0.0
2025-10-28T06:40:01.060208,Bern,6.61,4.38,5.7,9.13,70,3.09,nubes dispersas,46.948,7.4474,0,10000,0.0,0.0
2025-10-28T14:17:34.561493,Bern,14.65,13.69,13.58,15.64,58,6.17,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-10-28T22:16:16.022029,Bern,6.89,6.89,5.09,7.98,74,0.45,nubes dispersas,46.948,7.4474,0,10000,0.0,0.0
2025-10-29T06:26:00.691241,Bern,3.93,3.93,2.3,5.39,75,0.89,algo de nubes,46.948,7.4474,0,10000,0.0,0.0
2025-10-29T06:44:53.233778,Bern,2.78,2.78,1.81,5.39,89,0.45,nubes,46.948,7.4474,0,10000,0.0,0.0
2025-10-29T06:50:34.412972,Bern,2.78,2.78,1.81,5.39,89,0.45,nubes,46.948,7.4474,0,10000,0.0,0.0
2025-10-29T06:57:31.619352,Bern,3.0,3.0,1.81,5.39,89,0.99,nubes,46.948,7.4474,0,10000,0.0,0.0
2025-10-29T07:01:42.588384,Bern,4.71,4.71,3.42,5.39,76,0.99,nubes,46.948,7.4474,0,10000,0.0,0.0
2025-10-29T07:09:14.770808,Bern,4.71,4.71,3.42,5.39,75,0.99,nubes,46.948,7.4474,0,10000,0.0,0.0
2025-10-29T14:17:40.915446,Bern,12.46,11.43,11.75,14.28,64,1.03,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-10-29T22:15:52.872999,Bern,9.04,8.74,8.42,10.39,89,1.34,lluvia moderada,46.948,7.4474,0,10000,0.0,0.0
2025-10-30T06:24:34.849745,Bern,10.38,9.69,10.27,11.87,85,2.24,nubes,46.948,7.4474,0,10000,0.0,0.0
2025-10-30T14:16:41.430620,Bern,13.33,12.68,12.5,14.16,75,2.57,muy nuboso,46.948,7.4474,0,10000,0.0,0.0
2025-10-30T22:15:42.997161,Bern,10.95,10.53,9.13,11.38,93,1.03,nubes,46.948,7.4474,0,10000,0.0,0.0
2025-10-31T06:24:48.574942,Bern,8.92,7.16,6.75,9.42,87,3.09,nubes,46.948,7.4474,0,10000,0.0,0.0
2025-10-31T14:16:46.775407,Bern,15.38,14.83,14.42,16.38,71,1.03,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-10-31T22:15:40.363356,Bern,9.13,9.13,7.31,9.69,83,0.45,muy nuboso,46.948,7.4474,0,10000,0.0,0.0
2025-11-01T06:22:05.097718,Bern,6.76,6.16,6.25,8.54,57,1.34,nubes,46.948,7.4474,0,10000,0.0,0.0
2025-11-01T14:13:43.794037,Bern,14.52,13.99,13.95,15.27,75,1.03,muy nuboso,46.948,7.4474,0,10000,0.0,0.0
2025-11-01T22:14:22.662229,Bern,11.46,11.06,10.95,12.61,92,1.54,lluvia moderada,46.948,7.4474,0,10000,0.0,0.0
2025-11-02T06:23:07.491612,Bern,10.45,9.56,10.14,11.87,77,0.45,lluvia moderada,46.948,7.4474,0,10000,0.0,0.0
2025-11-02T14:13:57.867620,Bern,9.52,7.2,8.47,10.95,65,4.47,muy nuboso,46.948,7.4474,0,10000,0.0,0.0
2025-11-02T22:14:41.077306,Bern,6.7,6.09,5.95,8.72,86,1.34,algo de nubes,46.948,7.4474,0,10000,0.0,0.0
2025-11-03T06:26:23.744148,Bern,3.69,3.69,2.95,5.2,79,0.51,muy nuboso,46.948,7.4474,0,10000,0.0,0.0
2025-11-03T14:17:01.393534,Bern,12.83,11.68,11.91,14.16,58,3.13,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-03T22:16:31.010152,Bern,4.07,4.07,2.95,5.27,86,0.51,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-04T06:25:33.160488,Bern,1.89,1.89,0.7,3.61,67,1.23,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-04T14:17:35.474528,Bern,13.17,12.14,11.75,14.16,61,1.03,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-04T22:15:28.640932,Bern,3.5,3.5,1.95,5.27,94,0.51,bruma,46.948,7.4474,0,10000,0.0,0.0
2025-11-05T06:25:27.394465,Bern,4.15,4.15,2.42,4.16,80,0.65,nubes dispersas,46.948,7.4474,0,10000,0.0,0.0
2025-11-05T06:59:48.621939,Bern,3.6,3.6,2.42,4.13,80,3.6,nubes,46.948,7.4474,0,10000,0.0,0.0
2025-11-05T07:15:39.381310,Bern,3.6,3.6,2.42,4.13,80,3.6,nubes,46.948,7.4474,0,10000,0.0,0.0
2025-11-05T14:18:45.515908,Bern,14.46,13.45,11.36,15.27,57,5.5440000000000005,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-05T22:17:21.058249,Bern,3.68,3.68,1.95,5.27,94,3.708,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-06T06:26:41.421315,Bern,1.42,0.02,0.64,1.42,70,5.04,nubes,46.948,7.4474,0,10000,0.0,0.0
2025-11-06T06:57:52.759290,Bern,1.06,1.06,-1.05,3.61,92,1.836,bruma,46.948,7.4474,0,10000,0.0,0.0
2025-11-06T07:06:34.033319,Bern,1.06,1.06,-1.05,3.61,91,1.836,bruma,46.948,7.4474,0,10000,0.0,0.0
2025-11-06T07:18:58.438160,Bern,1.06,1.06,-1.05,3.61,91,1.836,bruma,46.948,7.4474,0,10000,0.0,0.0
2025-11-06T14:18:50.404285,Bern,11.7,10.18,10.14,13.6,48,5.5440000000000005,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-06T22:17:12.281113,Bern,5.94,5.94,4.95,7.5,94,3.708,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-07T06:26:24.590719,Bern,3.46,3.46,1.95,5.8,91,3.708,algo de nubes,46.948,7.4474,0,10000,0.0,0.0
2025-11-07T14:17:51.461346,Bern,12.19,11.16,11.94,13.77,65,9.252,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-07T22:16:26.554264,Bern,3.22,3.22,1.95,4.72,91,3.204,bruma,46.948,7.4474,0,10000,0.0,0.0
2025-11-08T06:23:22.860697,Bern,0.89,0.89,-0.05,1.87,95,3.708,bruma,46.948,7.4474,0,10000,0.0,0.0
2025-11-08T21:35:43.080222,Bern,3.49,2.17,2.95,5.76,92,5.5440000000000005,bruma,46.948,7.4474,100,200,0.0,0.0
2025-11-08T22:15:50.404667,Bern,4.12,2.58,3.05,5.76,83,6.444,cielo claro,46.948,7.4474,4,10000,0.0,0.0
2025-11-09T06:24:11.137944,Bern,4.51,4.51,3.97,5.94,58,1.62,muy nuboso,46.948,7.4474,61,10000,0.0,0.0
2025-11-09T14:14:51.701105,Bern,11.63,10.57,10.64,11.95,66,6.444,muy nuboso,46.948,7.4474,75,10000,0.0,0.0
2025-11-09T22:16:09.062254,Bern,6.74,6.74,5.83,7.43,92,3.024,muy nuboso,46.948,7.4474,62,10000,0.0,0.0
2025-11-10T06:28:21.444969,Bern,2.48,1.15,2.3,5.24,84,5.22,algo de nubes,46.948,7.4474,11,10000,0.0,0.0
2025-11-10T06:57:44.202092,Bern,2.49,2.49,2.3,5.24,84,2.9160000000000004,cielo claro,46.948,7.4474,9,10000,0.0,0.0
2025-11-10T07:06:01.179960,Bern,2.42,2.42,1.75,5.76,84,1.62,cielo claro,46.948,7.4474,9,10000,0.0,0.0
2025-11-10T14:18:59.276420,Bern,9.93,9.53,9.42,11.19,75,5.5440000000000005,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-10T22:18:01.695612,Bern,5.09,4.27,4.16,6.87,92,4.824000000000001,nubes,46.948,7.4474,99,10000,0.0,0.0
2025-11-11T06:26:57.491176,Bern,4,4,2.86,5.8,78,4.5,nubes,46.948,7.4474,92,10000,0.0,0.0
2025-11-11T14:18:17.826585,Bern,13.19,11.97,11.42,14.28,54,4.824000000000001,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-11T22:17:29.936551,Bern,4.31,4.31,4.03,5.8,90,3.204,algo de nubes,46.948,7.4474,18,10000,0.0,0.0
2025-11-12T06:26:43.059397,Bern,4.16,4.16,0.42,4.16,78,3.204,nubes dispersas,46.948,7.4474,45,10000,0.0,0.0
2025-11-12T14:19:13.164398,Bern,13.68,12.64,11.32,14.16,59,3.708,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-12T22:17:45.366669,Bern,6.1,6.1,4.95,8.05,87,3.708,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-13T06:27:09.559275,Bern,4.16,4.16,0.42,8.05,83,1.836,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-13T06:44:58.526041,Bern,3.61,3.61,-0.05,8.05,83,1.836,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-13T06:59:25.115480,Bern,8.51,8.51,8.05,10.8,56,4.716,nubes,46.948,7.4474,100,10000,0.0,0.0
2025-11-13T07:23:07.299282,Bern,3.91,3.91,0.42,7.5,84,1.836,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-13T07:31:55.666896,Bern,3.91,3.91,0.42,7.5,84,1.836,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-13T14:18:16.047973,Bern,16.83,15.77,14.42,17.43,46,3.708,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-13T22:18:19.735762,Bern,5.21,5.21,3.95,7.43,97,1.836,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-14T06:26:52.064016,Bern,4.71,4.71,1.42,8.05,81,3.708,cielo claro,46.948,7.4474,0,10000,0.0,0.0
2025-11-14T07:14:45.161690,Bern,4.41,4.41,0.95,8.61,77,1.62,bruma,46.948,7.4474,8,10000,0.0,0.0
2025-11-14T14:18:17.666210,Bern,14.9,14.2,12.98,15.95,67,0.0,nubes dispersas,46.948,7.4474,40,10000,0.0,0.0
2025-11-14T22:17:01.351773,Bern,9.9,8.32,8.95,11.87,84,11.268,lluvia ligera,46.948,7.4474,100,10000,0.17,0.0
2025-11-15T06:24:23.753640,Bern,7.44,7.44,6.42,9.09,100,2.9160000000000004,nubes,46.948,7.4474,98,10000,0.0,0.0
2025-11-15T14:15:49.266664,Bern,14.48,13.89,13.47,16.94,73,11.124,muy nuboso,46.948,7.4474,75,10000,0.0,0.0
2025-11-15T22:14:10.272063,Bern,7.75,7.04,6.75,9.09,92,5.5440000000000005,nubes dispersas,46.948,7.4474,49,10000,0.0,0.0
2025-11-16T06:24:37.668366,Bern,6.24,6.24,5.7,7.43,60,1.9800000000000002,lluvia moderada,46.948,7.4474,93,10000,3.16,0.0
2025-11-16T14:15:53.500309,Bern,9.87,8.85,9.72,11.5,89,8.064000000000002,lluvia de gran intensidad,46.948,7.4474,75,7000,4.62,0.0
2025-11-16T22:16:39.981934,Bern,7.15,6.35,6.19,9.65,92,5.5440000000000005,nubes,46.948,7.4474,100,5000,0.0,0.0
2025-11-17T06:27:35.488877,Bern,7.96,7.96,7.3,9.69,85,3.204,lluvia moderada,46.948,7.4474,90,10000,1.41,0.0
