fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:01:44.714675,Madrid,4.19,2.97,2.53,6.62,93,1.54,cielo claro,40.4168,-3.7038
2025-10-27T14:17:10.452749,Sol,17.51,16.39,16.86,18.54,41,2.06,cielo claro,40.4168,-3.7038
2025-10-27T22:14:39.487566,Madrid City Center,11.84,10.78,8.53,12.36,65,0.89,cielo claro,40.4168,-3.7038
2025-10-28T06:24:59.353383,Madrid City Center,6.87,6.87,4.68,8.28,84,1.03,cielo claro,40.4168,-3.7038
2025-10-28T06:39:23.409408,Sol,6.87,6.87,4.68,8.28,84,1.03,cielo claro,40.417,-3.704
2025-10-28T14:16:54.514548,Sol,18.89,17.64,18.13,19.81,31,1.34,cielo claro,40.4168,-3.7038
2025-10-28T22:15:35.635637,Sol,12.87,11.94,11.82,14.68,66,1.54,chubasco de ligera intensidad,40.4168,-3.7038
2025-10-29T06:25:21.894695,Madrid City Center,10.44,9.99,9.53,11.07,94,1.03,algo de nubes,40.4168,-3.7038
2025-10-29T06:44:12.388411,Madrid City Center,10.33,9.87,9.53,11.07,94,1.03,muy nuboso,40.4168,-3.7038
2025-10-29T06:49:53.553104,Sol,10.33,9.87,9.53,11.07,94,1.03,muy nuboso,40.4168,-3.7038
2025-10-29T06:56:53.235908,Madrid,10.33,9.87,9.53,11.07,94,1.03,muy nuboso,40.4168,-3.7038
2025-10-29T07:01:02.971049,Madrid,10.33,9.87,9.53,11.07,94,1.03,muy nuboso,40.4165,-3.7026
2025-10-29T07:08:37.200875,Madrid,10.33,9.87,9.53,11.07,94,1.03,muy nuboso,40.4168,-3.7038
2025-10-29T14:17:03.678594,Madrid,13.21,13.07,12.43,14.25,95,1.03,niebla,40.4168,-3.7038
2025-10-29T22:15:12.952022,Sol,12.36,12.16,11.53,12.9,96,1.54,niebla,40.4168,-3.7038
2025-10-30T06:23:57.363122,Sol,11.85,11.57,11.13,12.68,95,2.06,nubes,40.4165,-3.7026
2025-10-30T14:16:02.851725,Sol,15.49,15.26,14.56,16.68,83,3.13,muy nuboso,40.4168,-3.7038
2025-10-30T22:15:04.217161,Sol,12.51,11.96,11.07,13.53,82,2.57,cielo claro,40.4168,-3.7038
2025-10-31T06:24:11.311971,Madrid City Center,10.42,9.97,9.04,11.25,94,1.34,nubes dispersas,40.4168,-3.7038
2025-10-31T14:16:08.265839,Sol,15.61,15.13,14.01,16.68,73,4.12,muy nuboso,40.417,-3.704
2025-10-31T22:15:03.126606,Sol,14.35,13.98,13.14,15.12,82,2.57,algo de nubes,40.4168,-3.7038
2025-11-01T06:21:26.696136,Madrid,12.31,11.87,11.53,13.29,87,2.68,algo de nubes,40.4168,-3.7038
2025-11-01T14:13:04.939084,Madrid,17.16,16.68,15.67,18.14,67,3.6,muy nuboso,40.4168,-3.7038
2025-11-01T22:13:44.199359,Madrid,13.9,13.64,13.45,14.68,88,3.09,nubes,40.4168,-3.7038
2025-11-02T06:22:29.112121,Sol,11.76,11.32,11.13,12.68,89,2.57,muy nuboso,40.4165,-3.7026
2025-11-02T14:13:17.152079,Sol,17.13,15.97,16.26,18.68,41,5.14,cielo claro,40.4168,-3.7038
2025-11-02T22:14:02.743436,Sol,11.41,10.23,9.25,12.13,62,3.6,cielo claro,40.4165,-3.7026
2025-11-03T06:25:43.802138,Sol,6.8,6.8,4.59,8.45,83,0.89,cielo claro,40.4168,-3.7038
2025-11-03T14:16:23.001999,Madrid,18.38,17.24,17.41,19.59,37,1.54,cielo claro,40.4165,-3.7026
2025-11-03T22:15:53.349584,Madrid,11.68,10.55,10.36,12.41,63,1.34,cielo claro,40.4168,-3.7038
2025-11-04T06:24:56.002464,Sol,6.33,6.33,3.53,7.13,84,1.03,cielo claro,40.4167,-3.7034
2025-11-04T14:16:57.876108,Sol,17.97,17.1,17.13,19.23,49,1.54,cielo claro,40.4168,-3.7038
2025-11-04T22:14:50.962288,Sol,13.84,13.08,12.34,14.63,69,1.79,cielo claro,40.4168,-3.7038
2025-11-05T06:24:46.954304,Sol,12,11.4,10.59,12.74,82,3.09,nubes dispersas,40.4168,-3.7038
2025-11-05T06:58:31.046562,Madrid,11.88,11.26,10.92,12.74,82,9.251999999999999,nubes dispersas,40.4168,-3.7038
2025-11-05T07:14:17.959698,Sol,11.98,11.4,10.92,12.74,83,9.251999999999999,nubes dispersas,40.4168,-3.7038
2025-11-05T14:17:26.971522,Madrid City Center,16.19,15.56,14.56,17.03,65,25.92,muy nuboso,40.4168,-3.7038
2025-11-05T22:16:03.220733,Madrid,11.9,11.55,11.23,12.68,92,18.503999999999998,nubes,40.4168,-3.7038
2025-11-06T06:25:22.722112,Sol,8.03,4.68,7.34,8.7,92,22.212,algo de nubes,40.4168,-3.7038
2025-11-06T06:56:30.266564,Madrid,7.65,4.02,7.13,8.68,92,24.084000000000003,algo de nubes,40.4165,-3.7026
2025-11-06T07:05:17.570064,Sol,7.47,3.79,7.13,8.14,92,24.084000000000003,algo de nubes,40.4168,-3.7038
2025-11-06T07:17:43.128708,Sol,7.47,3.79,7.13,8.14,92,24.084000000000003,algo de nubes,40.417,-3.704
2025-11-06T14:17:31.907920,Madrid,12.85,11.94,12.13,13.69,67,24.084000000000003,muy nuboso,40.4168,-3.7038
