fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:02:14.386606,Vitoria-Gasteiz,3.63,3.63,2.14,4.67,93,0.5,cielo claro,42.8467,-2.6731,0,10000,0.0,0.0
2025-10-27T14:17:40.634960,Vitoria-Gasteiz,16.09,15.24,15.23,16.57,57,1.54,cielo claro,42.8467,-2.6731,0,10000,0.0,0.0
2025-10-27T22:15:08.647159,Vitoria-Gasteiz,5.15,5.15,4.84,6.9,93,1.03,algo de nubes,42.8467,-2.6731,0,10000,0.0,0.0
2025-10-28T06:25:29.675773,Vitoria-Gasteiz,5.16,5.16,4.84,5.79,97,0.0,bruma,42.8467,-2.6731,0,10000,0.0,0.0
2025-10-28T06:39:52.780915,Vitoria-Gasteiz,5.43,5.43,4.84,6.01,97,0.0,bruma,42.8467,-2.6731,0,10000,0.0,0.0
2025-10-28T14:17:25.802538,Vitoria-Gasteiz,19.96,19.26,18.48,20.84,48,3.6,cielo claro,42.8467,-2.6731,0,10000,0.0,0.0
2025-10-28T22:16:07.156732,Vitoria-Gasteiz,6.84,6.84,6.84,8.93,81,0.0,cielo claro,42.8467,-2.6731,0,10000,0.0,0.0
2025-10-29T06:25:52.202481,Vitoria-Gasteiz,11.5,10.85,10.84,12.14,82,3.58,muy nuboso,42.8467,-2.6731,0,10000,0.0,0.0
2025-10-29T06:44:44.303666,Vitoria-Gasteiz,11.24,10.59,10.84,12.14,83,2.68,muy nuboso,42.8467,-2.6731,0,10000,0.0,0.0
2025-10-29T06:50:25.485683,Vitoria-Gasteiz,11.24,10.59,10.84,12.14,83,3.58,muy nuboso,42.8467,-2.6731,0,10000,0.0,0.0
2025-10-29T06:57:23.241407,Vitoria-Gasteiz,11.24,10.59,10.84,12.14,83,4.02,muy nuboso,42.8467,-2.6731,0,10000,0.0,0.0
2025-10-29T07:01:34.362447,Vitoria-Gasteiz,11.24,10.59,10.84,12.14,83,3.58,muy nuboso,42.8467,-2.6731,0,10000,0.0,0.0
2025-10-29T07:09:06.553435,Vitoria-Gasteiz,11.24,10.59,10.84,12.14,83,3.58,muy nuboso,42.85,-2.673,0,10000,0.0,0.0
2025-10-29T14:17:32.784663,Vitoria-Gasteiz,18.94,18.46,18.01,19.36,60,6.69,nubes dispersas,42.8467,-2.6731,0,10000,0.0,0.0
2025-10-29T22:15:44.169700,Vitoria-Gasteiz,12.59,12.23,11.71,12.84,89,2.57,muy nuboso,42.8467,-2.6731,0,10000,0.0,0.0
2025-10-30T06:24:26.663475,Vitoria-Gasteiz,7.54,7.54,6.71,9.67,97,0.0,bruma,42.8467,-2.6731,0,10000,0.0,0.0
2025-10-30T14:16:32.996669,Vitoria-Gasteiz,17.9,17.44,17.7,19.04,65,8.23,nubes dispersas,42.8467,-2.6731,0,10000,0.0,0.0
2025-10-30T22:15:34.560002,Vitoria-Gasteiz,15.01,14.37,13.38,15.46,69,2.68,algo de nubes,42.8467,-2.6731,0,10000,0.0,0.0
