fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:01:48.303308,Mérida,12.62,11.92,12.62,12.62,76,2.95,cielo claro,38.9159,-6.344
2025-10-27T14:17:14.059716,Mérida,23.58,23.17,23.58,23.58,45,1.28,cielo claro,38.9159,-6.344
2025-10-27T22:14:42.974708,Mérida,19.1,18.19,19.1,19.1,43,1.96,nubes,38.9191,-6.3408
2025-10-28T06:25:03.008217,Mérida,13.95,13.36,13.95,13.95,75,2.37,muy nuboso,38.9159,-6.344
2025-10-28T06:39:26.932088,Mérida,14.51,13.9,14.51,14.51,72,2.6,nubes,38.9159,-6.344
2025-10-28T14:16:58.267516,Mérida,24.39,24.09,24.39,24.39,46,3.64,nubes,38.9159,-6.344
2025-10-28T22:15:39.451584,Mérida,17.34,17.19,17.34,17.34,79,6.14,lluvia de gran intensidad,38.9159,-6.344
2025-10-29T06:25:25.525733,Mérida,14.7,14.37,14.7,14.7,82,5.63,nubes,38.9159,-6.344
2025-10-29T06:44:16.222124,Mérida,15.21,14.77,15.21,15.21,76,7.42,nubes,38.9159,-6.344
2025-10-29T06:49:57.377960,Mérida,15.21,14.77,15.21,15.21,76,7.42,nubes,38.9159,-6.344
2025-10-29T06:56:56.837142,Mérida,15.21,14.77,15.21,15.21,76,7.42,nubes,38.9159,-6.344
2025-10-29T07:01:06.482209,Mérida,15.21,14.77,15.21,15.21,76,7.42,nubes,38.9159,-6.344
2025-10-29T07:08:40.729127,Mérida,15.21,14.77,15.21,15.21,76,7.42,lluvia de gran intensidad,38.9159,-6.344
2025-10-29T14:17:07.155564,Mérida,19.66,19.3,19.66,19.66,62,1.77,nubes,38.9159,-6.344
2025-10-29T22:15:16.706088,Mérida,15.54,15.19,15.54,15.54,78,2.22,nubes dispersas,38.9159,-6.344
2025-10-30T06:24:00.865026,Mérida,13.06,12.8,13.06,13.06,91,2.17,cielo claro,38.9159,-6.344
2025-10-30T14:16:06.467352,Mérida,20.86,20.28,20.86,20.86,49,4.47,nubes,38.9159,-6.344
2025-10-30T22:15:07.825610,Mérida,15.99,15.39,15.99,15.99,67,1.78,nubes,38.9159,-6.344
2025-10-31T06:24:14.796382,Mérida,15.7,15.21,15.7,15.7,72,3.67,nubes,38.9159,-6.344
2025-10-31T14:16:11.885892,Mérida,21.47,20.95,21.47,21.47,49,6.06,nubes,38.9159,-6.344
2025-10-31T22:15:06.609932,Mérida,17.31,17.05,17.31,17.31,75,4.73,nubes,38.9191,-6.3408
2025-11-01T06:21:30.288117,Mérida,14.53,14.31,14.53,14.53,87,2.98,nubes,38.9159,-6.344
2025-11-01T14:13:08.569406,Mérida,22.17,21.83,22.17,22.17,53,6.03,nubes,38.9159,-6.344
2025-11-01T22:13:47.800964,Mérida,16.83,16.92,16.83,16.83,90,2.43,lluvia ligera,38.9159,-6.344
2025-11-02T06:22:32.695108,Mérida,14.26,13.8,14.26,14.26,79,3.05,nubes,38.9159,-6.344
2025-11-02T14:13:20.964841,Mérida,20.11,19.12,20.11,20.11,36,3.55,nubes,38.9159,-6.344
2025-11-02T22:14:06.335443,Mérida,13.61,12.59,13.61,13.61,60,1.25,nubes,38.9159,-6.344
2025-11-03T06:25:47.536790,Mérida,9.68,8.91,9.68,9.68,84,1.89,cielo claro,38.9159,-6.344
2025-11-03T14:16:26.587381,Mérida,21.74,20.7,21.74,21.74,28,2.33,cielo claro,38.9159,-6.344
2025-11-03T22:15:56.935511,Mérida,13.79,12.56,13.79,13.79,51,1.53,muy nuboso,38.9159,-6.344
2025-11-04T06:24:59.485439,Mérida,11.05,10.3,11.05,11.05,80,2.64,muy nuboso,38.9159,-6.344
2025-11-04T14:17:01.414217,Mérida,23.51,22.88,23.51,23.51,37,4.27,nubes,38.9159,-6.344
