fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:04:14.930552,L’Agha,17.84,18.13,17.84,17.84,94,2.57,muy nuboso,36.7762,3.0599,0,10000,0.0,0.0
2025-10-27T14:19:45.931358,L’Agha,22.84,22.75,22.84,22.84,60,4.12,algo de nubes,36.7762,3.0599,0,10000,0.0,0.0
2025-10-27T22:17:10.000781,L’Agha,14.84,14.68,14.84,14.84,88,1.54,algo de nubes,36.7762,3.0599,0,10000,0.0,0.0
2025-10-28T06:27:35.570854,L’Agha,11.84,11.53,11.84,11.84,94,1.54,algo de nubes,36.7762,3.0599,0,10000,0.0,0.0
2025-10-28T06:41:55.066747,L’Agha,11.84,11.53,11.84,11.84,94,1.54,algo de nubes,36.7762,3.0599,0,10000,0.0,0.0
2025-10-28T14:19:35.896264,L’Agha,22.84,22.64,22.84,22.84,56,5.14,algo de nubes,36.7762,3.0599,0,10000,0.0,0.0
2025-10-28T22:18:18.147308,L’Agha,13.84,13.73,13.84,13.84,94,1.03,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-10-29T06:27:58.470286,L’Agha,18.84,18.42,18.84,18.84,63,2.06,muy nuboso,36.7762,3.0599,0,10000,0.0,0.0
2025-10-29T06:46:57.008871,L’Agha,18.84,18.42,18.84,18.84,63,1.03,muy nuboso,36.7762,3.0599,0,10000,0.0,0.0
2025-10-29T06:52:38.238696,L’Agha,18.84,18.42,18.84,18.84,63,1.03,muy nuboso,36.7762,3.0599,0,10000,0.0,0.0
2025-10-29T06:59:27.836188,L’Agha,18.84,18.42,18.84,18.84,63,1.03,muy nuboso,36.7762,3.0599,0,10000,0.0,0.0
2025-10-29T07:03:36.517228,L’Agha,18.84,18.42,18.84,18.84,63,1.03,muy nuboso,36.7762,3.0599,0,10000,0.0,0.0
2025-10-29T07:11:08.645352,L’Agha,18.84,18.42,18.84,18.84,63,1.03,muy nuboso,36.7762,3.0599,0,10000,0.0,0.0
2025-10-29T14:19:33.474964,L’Agha,25.84,25.71,25.84,25.84,47,3.6,nubes dispersas,36.7762,3.0599,0,10000,0.0,0.0
2025-10-29T22:17:53.990477,L’Agha,23.84,23.66,23.84,23.84,53,3.6,muy nuboso,36.7762,3.0599,0,10000,0.0,0.0
2025-10-30T06:26:28.554885,L’Agha,19.84,19.55,19.84,19.84,64,1.54,nubes dispersas,36.7762,3.0599,0,10000,0.0,0.0
2025-10-30T14:18:38.218566,L’Agha,24.84,24.69,24.84,24.84,50,8.23,lluvia ligera,36.7762,3.0599,0,10000,0.0,0.0
2025-10-30T22:17:39.793296,L’Agha,17.84,17.98,17.84,17.84,88,2.57,nubes dispersas,36.7762,3.0599,0,10000,0.0,0.0
2025-10-31T06:26:41.224518,L’Agha,11.84,11.53,11.84,11.84,94,1.54,niebla,36.7762,3.0599,0,10000,0.0,0.0
2025-10-31T14:18:43.699321,L’Agha,25.84,25.63,25.84,25.84,44,3.09,algo de nubes,36.7762,3.0599,0,10000,0.0,0.0
2025-10-31T22:17:33.097020,L’Agha,17.84,17.56,17.84,17.84,72,1.03,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-01T06:24:01.400948,L’Agha,13.84,13.58,13.84,13.84,88,2.06,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-01T14:15:41.528113,L’Agha,26.84,26.95,26.84,26.84,44,3.09,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-01T22:16:18.962768,L’Agha,16.84,16.88,16.84,16.84,88,1.03,nubes dispersas,36.7762,3.0599,0,10000,0.0,0.0
2025-11-02T06:25:03.773350,L’Agha,13.84,13.58,13.84,13.84,88,0.0,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-02T14:16:01.232126,L’Agha,24.84,24.87,24.84,24.84,57,5.14,nubes dispersas,36.7762,3.0599,0,10000,0.0,0.0
2025-11-02T22:16:37.642227,L’Agha,19.84,20.05,19.84,19.84,83,2.57,lluvia ligera,36.7762,3.0599,0,10000,0.0,0.0
2025-11-03T06:28:24.773587,L’Agha,16.84,16.59,16.84,16.84,77,3.6,muy nuboso,36.7762,3.0599,0,10000,0.0,0.0
2025-11-03T14:18:57.690382,L’Agha,21.84,21.75,21.84,21.84,64,4.12,muy nuboso,36.7762,3.0599,0,10000,0.0,0.0
2025-11-03T22:18:24.928181,L’Agha,14.84,14.68,14.84,14.84,88,1.03,algo de nubes,36.7762,3.0599,0,10000,0.0,0.0
2025-11-04T06:27:25.810951,L’Agha,11.84,11.53,11.84,11.84,94,1.54,algo de nubes,36.7762,3.0599,0,10000,0.0,0.0
2025-11-04T14:19:29.603149,L’Agha,23.84,23.59,23.84,23.84,50,3.6,algo de nubes,36.7762,3.0599,0,10000,0.0,0.0
2025-11-04T22:17:22.646461,L’Agha,13.84,13.42,13.84,13.84,82,1.54,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-05T06:27:29.339773,L’Agha,9.84,8.96,9.84,9.84,87,2.06,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-05T07:03:43.946940,L’Agha,9.84,9.43,9.84,9.84,87,5.5440000000000005,algo de nubes,36.7762,3.0599,0,10000,0.0,0.0
2025-11-05T07:19:46.581936,L’Agha,11.84,11.35,11.84,11.84,87,5.5440000000000005,algo de nubes,36.7762,3.0599,0,10000,0.0,0.0
2025-11-05T14:22:43.579841,L’Agha,26.84,26.95,26.84,26.84,44,16.668,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-05T22:21:16.818030,L’Agha,15.84,15.36,15.84,15.84,72,3.708,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-06T06:30:39.646009,L’Agha,17.84,17.32,17.84,17.84,63,14.832,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-06T07:02:03.015098,L’Agha,17.84,17.32,17.84,17.84,63,7.416,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-06T07:10:25.329059,L’Agha,17.84,17.32,17.84,17.84,63,7.416,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-06T07:22:46.601229,L’Agha,17.84,17.32,17.84,17.84,63,11.124,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-06T14:22:48.286569,L’Agha,20.84,20.55,20.84,20.84,60,31.5,lluvia ligera,36.7762,3.0599,0,10000,0.0,0.0
2025-11-06T22:21:09.977694,L’Agha,16.84,15.91,16.84,16.84,51,16.668,lluvia ligera,36.7762,3.0599,0,10000,0.0,0.0
2025-11-07T06:30:12.390664,L’Agha,14.84,14.39,14.84,14.84,77,12.96,lluvia ligera,36.7762,3.0599,0,10000,0.0,0.0
2025-11-07T14:21:40.593282,L’Agha,21.84,21.28,21.84,21.84,46,25.92,nubes dispersas,36.7762,3.0599,0,10000,0.0,0.0
2025-11-07T22:20:16.765701,L’Agha,15.84,15.36,15.84,15.84,72,7.416,nubes dispersas,36.7762,3.0599,0,10000,0.0,0.0
2025-11-08T06:27:13.529699,L’Agha,12.84,12.03,12.84,12.84,71,11.124,muy nuboso,36.7762,3.0599,0,10000,0.0,0.0
2025-11-08T21:39:56.527533,L’Agha,15.84,15.36,15.84,15.84,72,25.92,lluvia ligera,36.7762,3.0599,40,10000,0.85,0.0
2025-11-08T22:20:02.423443,L’Agha,14.84,14.52,14.84,14.84,82,20.376,lluvia ligera,36.7762,3.0599,40,10000,0.85,0.0
2025-11-09T06:28:20.058132,L’Agha,13.84,13.73,13.84,13.84,94,9.251999999999999,lluvia moderada,36.7762,3.0599,40,10000,1.41,0.0
2025-11-09T14:19:03.321327,L’Agha,16.84,16.59,16.84,16.84,77,22.212,lluvia ligera,36.7762,3.0599,40,10000,0.0,0.0
2025-11-09T22:20:07.159480,L’Agha,10.84,10.41,10.84,10.84,93,5.5440000000000005,algo de nubes,36.7762,3.0599,20,10000,0.0,0.0
2025-11-10T06:32:13.825656,L’Agha,7.84,7.84,7.84,7.84,100,3.708,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-10T07:01:32.396001,L’Agha,7.84,7.14,7.84,7.84,100,5.5440000000000005,nubes,36.7762,3.0599,100,7000,0.0,0.0
2025-11-10T07:10:07.427074,L’Agha,7.84,7.14,7.84,7.84,100,5.5440000000000005,nubes,36.7762,3.0599,100,7000,0.0,0.0
2025-11-10T14:22:57.165175,L’Agha,21.84,21.28,21.84,21.84,46,18.503999999999998,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-10T22:22:08.342208,L’Agha,11.84,11.53,11.84,11.84,94,3.708,nubes dispersas,36.7762,3.0599,40,10000,0.0,0.0
2025-11-11T06:30:56.312889,L’Agha,7.84,6.62,7.84,7.84,93,7.416,algo de nubes,36.7762,3.0599,20,8000,0.0,0.0
2025-11-11T14:22:29.307148,L’Agha,22.84,22.38,22.84,22.84,46,12.96,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-11T22:21:17.886065,L’Agha,10.84,10.41,10.84,10.84,93,7.416,muy nuboso,36.7762,3.0599,60,7000,0.0,0.0
2025-11-12T06:30:30.944444,L’Agha,6.84,6,6.84,6.84,93,5.5440000000000005,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-12T14:23:19.924187,L’Agha,30.84,29.08,30.84,30.84,23,5.5440000000000005,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-12T22:21:43.513170,L’Agha,15.84,15.62,15.84,15.84,82,12.96,algo de nubes,36.7762,3.0599,20,10000,0.0,0.0
2025-11-13T06:31:07.713863,L’Agha,19.84,18.85,19.84,19.84,37,9.251999999999999,algo de nubes,36.7762,3.0599,20,10000,0.0,0.0
2025-11-13T06:48:57.093056,L’Agha,17.84,16.78,17.84,17.84,42,11.124,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-13T07:03:33.640781,L’Agha,17.84,16.78,17.84,17.84,42,11.124,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-13T07:27:04.932391,L’Agha,18.84,17.88,18.84,18.84,42,9.251999999999999,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-13T07:36:01.716772,L’Agha,18.84,17.88,18.84,18.84,42,9.251999999999999,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-13T14:22:07.088924,L’Agha,29.84,28.11,29.84,29.84,20,20.376,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-13T22:22:17.786856,L’Agha,24.84,24.03,24.84,24.84,25,12.96,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
2025-11-14T06:30:49.810411,L’Agha,20.48,19.47,20.48,20.48,34,21.06,nubes,36.7762,3.0599,100,10000,0.0,0.0
2025-11-14T07:18:42.712409,L’Agha,23.84,22.93,23.84,23.84,25,20.376,cielo claro,36.7762,3.0599,0,10000,0.0,0.0
