fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:02:03.855379,Segovia,4.1,4.1,4.1,4.1,75,0.81,cielo claro,40.9429,-4.1203,0,10000,0.0,0.0
2025-10-27T14:17:29.733128,Segovia,15.76,14.41,15.76,15.76,39,2.56,cielo claro,40.9429,-4.1203,0,10000,0.0,0.0
2025-10-27T22:14:58.143725,Segovia,7.07,6.34,7.07,7.07,62,1.47,cielo claro,40.9429,-4.1203,0,10000,0.0,0.0
2025-10-28T06:25:18.757450,Segovia,2.82,0.72,2.82,2.82,71,2.1,cielo claro,40.9429,-4.1203,0,10000,0.0,0.0
2025-10-28T06:39:42.209203,Segovia,3.34,1.24,3.34,3.34,56,2.18,cielo claro,40.9429,-4.1203,0,10000,0.0,0.0
2025-10-28T14:17:14.519896,Segovia,17.99,16.65,17.99,17.99,31,1.82,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-10-28T22:15:55.857570,Segovia,10.07,8.7,10.07,10.07,60,4.34,lluvia moderada,40.9429,-4.1203,0,10000,0.0,0.0
2025-10-29T06:25:41.284889,Segovia,8.12,8.12,8.12,8.12,89,0.57,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-10-29T06:44:32.818994,Segovia,7.88,7.21,7.88,7.88,92,1.52,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-10-29T06:50:13.988254,Segovia,7.88,7.21,7.88,7.88,92,1.52,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-10-29T06:57:12.430367,Segovia,7.88,7.21,7.88,7.88,92,1.52,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-10-29T07:01:21.759415,Segovia,7.88,7.21,7.88,7.88,92,1.52,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-10-29T07:08:55.995309,Segovia,11.19,10.71,11.19,11.19,90,1.54,nubes,40.9357,-4.1207,0,10000,0.0,0.0
2025-10-29T14:17:22.296962,Segovia,12.28,11.76,12.28,12.28,84,3.34,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-10-29T22:15:32.924298,Segovia,9.65,9.3,9.65,9.65,91,1.45,muy nuboso,40.9429,-4.1203,0,10000,0.0,0.0
2025-10-30T06:24:16.111629,Segovia,7.58,6.14,7.58,7.58,89,2.27,nubes dispersas,40.9429,-4.1203,0,10000,0.0,0.0
2025-10-30T14:16:22.133832,Segovia,13.69,13.2,13.69,13.69,80,3.41,cielo claro,40.9429,-4.1203,0,10000,0.0,0.0
2025-10-30T22:15:23.684704,Segovia,10.16,9.4,10.16,10.16,83,1.41,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-10-31T06:24:29.932106,Segovia,8.53,6.74,8.53,8.53,89,3.01,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-10-31T14:16:27.536154,Segovia,12.72,12.03,12.72,12.72,76,3.22,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-10-31T22:15:21.724237,Segovia,11.76,11.13,11.76,11.76,82,4.97,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-01T06:21:45.897835,Segovia,10.33,9.59,10.33,10.33,83,3.64,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-01T14:13:24.353495,Segovia,13.24,12.6,13.24,13.24,76,2.32,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-01T22:14:03.420778,Segovia,12.11,11.65,12.11,12.11,87,2.87,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-02T06:22:48.288649,Segovia,8.29,6.85,8.29,8.29,81,2.43,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-02T14:13:37.543098,Segovia,13.65,12.27,13.65,13.65,46,3.0,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-02T22:14:21.932305,Segovia,7.92,7.92,7.92,7.92,73,1.04,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-03T06:26:03.768734,Segovia,4.86,4.86,4.86,4.86,77,1.26,nubes dispersas,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-03T14:16:42.192470,Segovia,14.72,13.24,14.72,14.72,38,1.7,cielo claro,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-03T22:16:12.173573,Segovia,7.6,5.73,7.6,7.6,65,2.85,muy nuboso,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-04T06:25:14.599028,Segovia,4.46,1.54,4.46,4.46,73,3.45,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-04T14:17:16.704281,Segovia,17.43,16.56,17.43,17.43,51,3.81,muy nuboso,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-04T22:15:09.755461,Segovia,10.37,9.24,10.37,10.37,68,5.44,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-05T06:25:07.156555,Segovia,9.05,6.17,9.05,9.05,75,5.61,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-05T06:59:09.822316,Segovia,8.31,5.32,8.31,8.31,78,19.44,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-05T07:14:58.666474,Segovia,9.27,6.53,9.27,9.27,76,19.44,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-05T14:18:06.268751,Segovia,12.43,11.48,12.43,12.43,67,36.108,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-05T22:16:42.203678,Segovia,8.94,7.56,8.94,8.94,87,9.036,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-06T06:26:02.137670,Segovia,8.74,7.03,8.74,8.74,92,10.62,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-06T06:57:11.479140,Segovia,5.83,3.34,5.83,5.83,86,11.664,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-06T07:05:55.830362,Segovia,5.83,3.34,5.83,5.83,86,11.664,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-06T07:18:20.796035,Segovia,5.83,3.34,5.83,5.83,86,11.664,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-06T14:18:11.171037,Segovia,10.22,8.92,10.22,10.22,62,26.244,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-06T22:16:33.118744,Segovia,6.88,4.6,6.88,6.88,73,11.7,muy nuboso,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-07T06:25:46.978521,Segovia,7.31,5.62,7.31,7.31,85,9.072,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-07T14:17:13.721065,Segovia,11.32,10.81,11.32,11.32,88,13.86,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-07T22:15:48.526496,Segovia,8.54,6.09,8.54,8.54,89,15.3,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-08T06:22:44.814645,Segovia,5.87,3.33,5.87,5.87,73,11.988,nubes,40.9429,-4.1203,0,10000,0.0,0.0
2025-11-08T21:35:01.747026,Segovia,6.38,6.38,6.38,6.38,74,1.044,nubes,40.9429,-4.1203,94,10000,0.0,0.0
2025-11-08T22:15:08.731965,Segovia,5.65,5.65,5.65,5.65,73,1.044,nubes,40.9429,-4.1203,94,10000,0.0,0.0
2025-11-09T06:23:29.888554,Segovia,2.85,2.85,2.85,2.85,82,3.708,algo de nubes,40.9429,-4.1203,12,10000,0.0,0.0
2025-11-09T14:14:10.011383,Segovia,11.9,10.45,11.9,11.9,50,9.251999999999999,nubes,40.9429,-4.1203,95,10000,0.0,0.0
2025-11-09T22:15:29.784383,Segovia,4.65,4.65,4.65,4.65,76,4.6080000000000005,nubes,40.9429,-4.1203,100,10000,0.0,0.0
2025-11-10T06:27:43.330861,Segovia,2.51,2.51,2.51,2.51,82,4.572,nubes,40.9429,-4.1203,94,10000,0.0,0.0
2025-11-10T06:57:06.556772,Segovia,2.43,2.43,2.43,2.43,71,4.32,nubes,40.9429,-4.1203,100,10000,0.0,0.0
2025-11-10T07:05:20.576646,Segovia,2.43,2.43,2.43,2.43,71,4.32,nubes,40.9429,-4.1203,100,10000,0.0,0.0
2025-11-10T14:18:20.094518,Segovia,11.32,10.18,11.32,11.32,64,11.484,nubes,40.9429,-4.1203,91,10000,0.0,0.0
2025-11-10T22:17:21.010763,Segovia,9.1,8.13,9.1,9.1,85,7.272,nubes,40.9429,-4.1203,94,10000,0.0,0.0
2025-11-11T06:26:18.077063,Segovia,4.82,2.46,4.82,4.82,88,9.972,nubes,40.9429,-4.1203,96,10000,0.0,0.0
2025-11-11T14:17:36.300116,Segovia,12.43,11.45,12.43,12.43,66,12.816,nubes,40.9429,-4.1203,100,10000,0.0,0.0
2025-11-11T22:16:52.251546,Segovia,7.45,4.74,7.45,7.45,81,15.3,nubes,40.9429,-4.1203,99,10000,0.0,0.0
2025-11-12T06:26:05.494309,Segovia,7.06,3.78,7.06,7.06,70,19.116,nubes dispersas,40.9429,-4.1203,49,10000,0.0,0.0
2025-11-12T14:18:32.375292,Segovia,16.32,14.97,16.32,16.32,37,37.512,muy nuboso,40.9429,-4.1203,52,10000,0.0,0.0
2025-11-12T22:17:06.210621,Segovia,10.97,9.79,10.97,10.97,64,33.336,nubes,40.9429,-4.1203,94,10000,0.0,0.0
2025-11-13T06:26:30.196695,Segovia,10.83,9.87,10.83,10.83,73,34.884,nubes,40.9429,-4.1203,100,10000,0.0,0.0
2025-11-13T06:44:19.118038,Segovia,11.17,10.33,11.17,11.17,76,34.38,nubes,40.9429,-4.1203,100,10000,0.0,0.0
