fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:04:21.900897,Shogunle,25.12,26.14,25.12,25.12,94,1.03,nubes dispersas,6.5244,3.3792,0,10000,0.0,0.0
2025-10-27T14:19:53.162884,Shogunle,32.12,39.12,32.12,32.12,66,5.14,lluvia ligera,6.5244,3.3792,0,10000,0.0,0.0
2025-10-27T22:17:17.011757,Shogunle,27.22,30.45,27.22,27.22,82,5.24,nubes dispersas,6.5244,3.3792,0,10000,0.0,0.0
2025-10-28T06:27:42.828277,Shogunle,26.12,26.12,26.12,26.12,94,1.03,nubes dispersas,6.5244,3.3792,0,10000,0.0,0.0
2025-10-28T06:42:02.107966,Shogunle,26.12,26.12,26.12,26.12,94,1.03,nubes dispersas,6.5244,3.3792,0,10000,0.0,0.0
2025-10-28T14:19:43.419994,Shogunle,28.46,32.23,28.46,28.46,74,5.1,lluvia ligera,6.5244,3.3792,0,10000,0.0,0.0
2025-10-28T22:18:25.661722,Shogunle,24.12,25.2,24.12,24.12,100,1.03,lluvia ligera,6.5244,3.3792,0,10000,0.0,0.0
2025-10-29T06:28:05.755855,Shogunle,25.12,26.14,25.12,25.12,94,1.54,niebla,6.5244,3.3792,0,10000,0.0,0.0
2025-10-29T06:47:04.678579,Shogunle,25.12,26.14,25.12,25.12,94,1.54,niebla,6.5244,3.3792,0,10000,0.0,0.0
2025-10-29T06:52:45.887916,Shogunle,25.12,26.14,25.12,25.12,94,1.54,niebla,6.5244,3.3792,0,10000,0.0,0.0
2025-10-29T06:59:35.029347,Shogunle,25.12,26.14,25.12,25.12,94,1.54,niebla,6.5244,3.3792,0,10000,0.0,0.0
2025-10-29T07:03:43.576434,Shogunle,25.12,26.14,25.12,25.12,94,1.54,niebla,6.5244,3.3792,0,10000,0.0,0.0
2025-10-29T07:11:15.725106,Shogunle,26.76,29.14,26.76,26.76,79,2.11,nubes,6.5244,3.3792,0,10000,0.0,0.0
2025-10-29T14:19:40.422536,Shogunle,30.12,36.36,30.12,30.12,74,1.54,muy nuboso,6.5244,3.3792,0,10000,0.0,0.0
2025-10-29T22:18:01.451882,Shogunle,27.01,29.48,27.01,27.01,77,3.44,nubes,6.5244,3.3792,0,10000,0.0,0.0
2025-10-30T06:26:35.572461,Shogunle,25.12,26.14,25.12,25.12,94,1.54,niebla,6.5244,3.3792,0,10000,0.0,0.0
2025-10-30T14:18:45.452998,Shogunle,31.12,37.92,31.12,31.12,70,3.09,tormenta,6.5244,3.3792,0,10000,0.0,0.0
2025-10-30T22:17:47.015125,Shogunle,26.95,29.63,26.95,26.95,80,4.19,nubes,6.5244,3.3792,0,10000,0.0,0.0
2025-10-31T06:26:48.181341,Shogunle,24.12,25.04,24.12,24.12,94,1.03,niebla,6.5244,3.3792,0,10000,0.0,0.0
2025-10-31T14:18:50.914747,Shogunle,29.01,32.56,29.01,29.01,69,3.38,lluvia ligera,6.5244,3.3792,0,10000,0.0,0.0
2025-10-31T22:17:40.070419,Shogunle,26.12,26.12,26.12,26.12,94,1.54,algo de nubes,6.5244,3.3792,0,10000,0.0,0.0
2025-11-01T06:24:08.584941,Shogunle,26.11,26.11,26.11,26.11,83,1.27,nubes,6.5244,3.3792,0,10000,0.0,0.0
2025-11-01T14:15:48.801333,Shogunle,29.57,32.98,29.57,29.57,65,5.26,nubes dispersas,6.5244,3.3792,0,10000,0.0,0.0
2025-11-01T22:16:26.146861,Shogunle,27.35,30.31,27.35,27.35,78,5.16,muy nuboso,6.5244,3.3792,0,10000,0.0,0.0
2025-11-02T06:25:10.954806,Shogunle,24.12,25.2,24.12,24.12,100,2.06,niebla,6.5244,3.3792,0,10000,0.0,0.0
2025-11-02T14:16:08.887678,Lagos,29.28,32.76,29.28,29.28,67,5.07,muy nuboso,6.5244,3.3792,0,10000,0.0,0.0
2025-11-02T22:16:44.840887,Shogunle,27.22,30.02,27.22,27.22,78,4.49,nubes dispersas,6.5244,3.3792,0,10000,0.0,0.0
2025-11-03T06:28:32.242816,Shogunle,26.12,26.12,26.12,26.12,94,2.06,tormenta con lluvia ligera,6.5244,3.3792,0,10000,0.0,0.0
2025-11-03T14:19:04.895530,Shogunle,29.12,34.85,29.12,29.12,79,4.12,nubes dispersas,6.5244,3.3792,0,10000,0.0,0.0
