fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:01:34.217759,Sacromonte,14.99,14.95,13.92,15.46,92,2.06,muy nuboso,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-27T14:16:59.640888,Granada,23.13,22.75,22.1,23.23,48,2.57,nubes dispersas,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-27T22:14:28.991402,Sacromonte,15.97,15.48,13.77,16.01,71,1.54,cielo claro,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-28T06:24:48.461231,Sacromonte,11.46,10.85,9.14,12.12,84,2.06,cielo claro,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-28T06:39:12.851705,Sacromonte,11.46,10.83,9.14,12.12,83,2.06,cielo claro,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-28T14:16:43.247314,Granada,22.37,22.02,22.12,24.14,52,6.69,algo de nubes,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-28T22:15:24.345189,Sacromonte,15.99,15.89,14.88,16.01,86,2.57,muy nuboso,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-29T06:25:10.977745,Realejo-San Matías,16.0,15.69,15.92,17.1,78,3.6,lluvia ligera,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-29T06:44:00.885896,Realejo-San Matías,16.0,15.64,15.14,17.1,76,4.63,lluvia ligera,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-29T06:49:42.055631,Realejo-San Matías,16.0,15.64,15.14,17.1,76,4.63,lluvia ligera,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-29T06:56:42.438499,Realejo-San Matías,15.99,15.63,15.14,16.55,76,4.63,lluvia ligera,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-29T07:00:52.417521,Realejo-San Matías,15.99,15.63,15.14,16.55,76,4.63,lluvia ligera,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-29T07:08:26.601743,Realejo-San Matías,15.99,15.63,15.14,16.55,76,4.63,lluvia ligera,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-29T14:16:53.142263,Sacromonte,19.22,18.82,17.14,19.34,62,7.2,lluvia ligera,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-29T22:15:01.766409,Realejo-San Matías,14.89,14.81,14.14,14.9,91,5.66,lluvia de gran intensidad,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-30T06:23:46.818587,Sacromonte,12.45,12.28,11.92,12.68,97,1.03,nubes dispersas,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-30T14:15:51.997893,Sacromonte,21.36,21.07,19.88,21.57,58,3.09,nubes dispersas,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-30T22:14:53.359003,Realejo-San Matías,14.31,14.09,12.66,14.34,88,1.03,cielo claro,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-31T06:24:00.868512,Sacromonte,10.6,10.12,10.14,10.99,92,2.06,bruma,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-31T14:15:57.448164,Realejo-San Matías,20.68,20.32,19.92,21.14,58,2.57,algo de nubes,37.1773,-3.5986,0,10000,0.0,0.0
2025-10-31T22:14:52.562032,Sacromonte,13.79,13.29,11.14,13.79,79,1.03,cielo claro,37.1773,-3.5986,0,10000,0.0,0.0
2025-11-01T06:21:15.898796,Sacromonte,10.46,9.7,6.14,10.46,82,2.06,cielo claro,37.1773,-3.5986,0,10000,0.0,0.0
2025-11-01T14:12:54.040202,Realejo-San Matías,22.64,22.27,20.44,22.68,50,3.6,algo de nubes,37.1773,-3.5986,0,10000,0.0,0.0
2025-11-01T22:13:33.391927,Sacromonte,13.19,12.68,10.99,13.23,81,0.89,cielo claro,37.1773,-3.5986,0,10000,0.0,0.0
2025-11-02T06:22:18.254048,Realejo-San Matías,11.01,10.46,8.14,11.01,88,1.34,muy nuboso,37.1773,-3.5986,0,10000,0.0,0.0
2025-11-02T14:13:05.722646,Granada,22.11,21.68,21.55,23.14,50,4.63,algo de nubes,37.1773,-3.5986,0,10000,0.0,0.0
2025-11-02T22:13:51.979491,Realejo-San Matías,13.2,12.64,11.55,13.23,79,1.54,cielo claro,37.1773,-3.5986,0,10000,0.0,0.0
2025-11-03T06:25:32.577534,Granada,7.92,5.96,6.14,7.92,87,3.09,cielo claro,37.1773,-3.5986,0,10000,0.0,0.0
2025-11-03T14:16:12.230531,Realejo-San Matías,23.51,22.99,21.55,23.79,41,3.6,algo de nubes,37.1773,-3.5986,0,10000,0.0,0.0
