fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:04:10.296471,Liberdade,19.46,19.5,17.88,19.99,78,3.6,cielo claro,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-27T14:19:41.113190,Liberdade,21.15,21.23,21.15,21.88,73,2.57,cielo claro,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-27T22:17:05.317665,Liberdade,19.48,19.78,18.52,20.19,88,4.63,muy nuboso,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-28T06:27:30.716591,Liberdade,18.55,18.89,17.88,18.88,93,1.54,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-28T06:41:50.360676,Liberdade,18.55,18.92,17.88,18.88,94,1.54,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-28T14:19:30.873797,Liberdade,19.85,20.29,19.15,22.97,92,2.06,muy nuboso,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-28T22:18:13.082416,Liberdade,18.23,18.62,17.69,19.88,96,2.06,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-29T06:27:53.609703,Liberdade,18.55,19.05,18.15,18.88,99,1.54,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-29T06:46:51.911729,Liberdade,18.55,19.05,18.15,18.88,99,1.79,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-29T06:52:33.138433,Liberdade,18.55,19.05,18.15,18.88,99,1.54,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-29T06:59:23.037078,Liberdade,18.55,19.05,18.15,18.88,99,1.54,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-29T07:03:31.823978,Liberdade,18.55,19.05,18.15,18.88,99,1.54,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-29T07:11:03.951344,Liberdade,18.55,19.05,18.15,18.88,99,1.54,niebla,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-29T14:19:28.831856,Liberdade,25.09,25.59,23.69,27.97,74,4.63,cielo claro,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-29T22:17:48.987704,Liberdade,19.6,19.99,18.15,20.55,91,4.63,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-30T06:26:23.871909,Liberdade,15.76,15.82,15.15,16.66,93,4.12,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-30T14:18:33.409875,Liberdade,16.85,16.89,16.3,18.52,88,4.63,muy nuboso,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-30T22:17:34.961419,Liberdade,15.97,16.05,15.15,16.66,93,4.12,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-31T06:26:36.560497,Liberdade,15.76,15.79,15.15,16.66,92,3.13,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-31T14:18:38.868955,Liberdade,20.55,20.98,19.15,20.55,89,1.54,muy nuboso,-23.5505,-46.6333,0,10000,0.0,0.0
2025-10-31T22:17:28.450618,Liberdade,17.37,17.64,16.86,17.97,95,2.57,muy nuboso,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-01T06:23:56.596688,Liberdade,17.48,17.76,16.88,17.77,95,2.06,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-01T14:15:36.675431,Liberdade,25.37,25.69,25.15,28.39,66,2.57,nubes dispersas,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-01T22:16:14.163944,Liberdade,19.4,19.75,19.15,20.19,90,2.06,nubes dispersas,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-02T06:24:58.980296,Liberdade,19.07,19.43,18.52,19.43,92,2.06,tormenta con lluvia ligera,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-02T14:15:56.108320,Liberdade,20.16,20.79,19.63,20.55,98,0.45,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-02T22:16:32.842462,Liberdade,19.66,20.08,18.88,20.19,92,2.57,cielo claro,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-03T06:28:19.787539,Liberdade,18.11,18.46,16.88,18.52,95,2.57,cielo claro,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-03T14:18:52.887647,Liberdade,24.92,25.32,22.97,27.21,71,6.17,nubes dispersas,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-03T22:18:20.244547,Liberdade,23.93,24.23,23.32,25.15,71,2.57,cielo claro,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-04T06:27:21.167650,Liberdade,18.33,18.73,17.88,18.52,96,3.09,muy nuboso,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-04T14:19:24.894479,Liberdade,24.25,24.64,23.69,25.15,73,1.54,niebla,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-04T22:17:17.947311,Liberdade,20.18,20.66,19.15,21.3,92,2.57,lluvia ligera,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-05T06:27:24.331813,Liberdade,19.71,20.16,18.88,20.15,93,2.06,cielo claro,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-05T07:03:34.267320,Liberdade,19.49,19.92,18.88,20.15,93,7.416,cielo claro,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-05T07:19:36.316160,Liberdade,19.19,19.65,17.88,19.63,95,3.708,cielo claro,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-05T14:22:33.700991,Liberdade,28.53,31.11,27.69,29.99,66,18.504,muy nuboso,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-05T22:21:07.067508,Liberdade,24.25,24.48,23.69,25.15,67,20.376,algo de nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-06T06:30:29.776356,Liberdade,17.09,17.07,16.86,17.88,85,24.084000000000003,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-06T07:01:52.643986,Liberdade,17.41,17.45,16.86,18.52,86,22.212,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-06T07:10:15.616321,Liberdade,17.41,17.45,16.86,18.52,86,22.212,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-06T07:22:37.174218,Liberdade,17.26,17.29,16.3,18.52,86,22.212,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-06T14:22:38.394990,Liberdade,18.15,17.93,17.69,19.15,73,18.504,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-06T22:21:00.119249,Liberdade,16.39,16.33,15.69,17.77,86,20.376,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-07T06:30:02.998100,Liberdade,15.65,15.67,14.88,16.86,92,11.124,nubes,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-07T14:21:31.141862,Liberdade,21.9,22.03,19.88,24.63,72,14.832,muy nuboso,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-07T22:20:07.249579,Liberdade,19.21,19.25,17.15,20.55,79,9.252,cielo claro,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-08T06:27:04.000800,Liberdade,18.55,18.97,18.15,18.88,96,14.832,tormenta con lluvia,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-08T21:39:46.072991,Liberdade,21.69,21.82,19.08,21.69,73,32.184,muy nuboso,-23.5505,-46.6333,75,10000,0.0,0.0
2025-11-08T22:19:52.044196,Liberdade,18.88,18.89,18.69,19.88,79,37.044,muy nuboso,-23.5505,-46.6333,75,10000,0.0,0.0
2025-11-09T06:28:09.827691,Liberdade,14.69,14.62,13.88,15.55,92,18.503999999999998,muy nuboso,-23.5505,-46.6333,75,10000,0.0,0.0
2025-11-09T14:18:52.935049,Liberdade,18.32,18.06,17.41,19.99,71,20.916,muy nuboso,-23.5505,-46.6333,75,10000,0.0,0.0
2025-11-09T22:19:57.331131,Liberdade,15.34,15.15,14.69,16.86,85,18.503999999999998,muy nuboso,-23.5505,-46.6333,75,10000,0.0,0.0
2025-11-10T06:32:04.038614,Liberdade,13.55,13.28,11.88,13.88,89,9.251999999999999,cielo claro,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-10T07:01:22.976093,Liberdade,13.55,13.26,11.88,13.88,88,9.251999999999999,cielo claro,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-10T07:09:57.174352,Liberdade,13.55,13.28,11.88,13.88,89,7.416,cielo claro,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-10T14:22:47.323442,Liberdade,19.9,19.67,19.08,21.3,66,16.668,nubes dispersas,-23.5505,-46.6333,40,10000,0.0,0.0
2025-11-10T22:21:58.171599,Liberdade,15.47,14.98,14.63,16.1,73,22.212,cielo claro,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-11T06:30:46.471110,Liberdade,14.63,14.42,14.15,14.99,87,14.832,nubes,-23.5505,-46.6333,100,10000,0.0,0.0
2025-11-11T14:22:18.938054,Liberdade,22.67,22.51,21.12,24.08,58,12.96,cielo claro,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-11T22:21:08.448108,Liberdade,16.69,16.58,15.75,17.88,83,22.212,algo de nubes,-23.5505,-46.6333,20,10000,0.0,0.0
2025-11-12T06:30:21.503408,Liberdade,15.55,15.43,15.55,16.15,87,14.832,cielo claro,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-12T14:23:09.751594,Liberdade,26.79,27.51,25.88,27.84,55,5.5440000000000005,cielo claro,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-12T22:21:33.679330,Liberdade,21.91,22.09,21.15,22.88,74,11.124,cielo claro,-23.5505,-46.6333,0,10000,0.0,0.0
2025-11-13T06:30:57.870324,Liberdade,17.28,17.44,16.15,18.88,91,14.832,muy nuboso,-23.5505,-46.6333,75,10000,0.0,0.0
2025-11-13T06:48:47.198510,Liberdade,17.06,17.22,16.15,18.32,92,14.832,muy nuboso,-23.5505,-46.6333,75,10000,0.0,0.0
2025-11-13T07:03:23.477684,Liberdade,16.23,16.42,16.15,16.88,96,9.251999999999999,nubes dispersas,-23.5505,-46.6333,40,10000,0.0,0.0
2025-11-13T07:26:55.090610,Liberdade,17.06,17.22,16.15,18.32,92,11.124,muy nuboso,-23.5505,-46.6333,75,10000,0.0,0.0
2025-11-13T07:35:51.528457,Liberdade,17.06,17.22,16.15,18.32,92,9.251999999999999,nubes dispersas,-23.5505,-46.6333,40,10000,0.0,0.0
2025-11-13T14:21:57.557346,Liberdade,25.48,25.49,24.69,26.88,54,6.444,nubes,-23.5505,-46.6333,100,8000,0.0,0.0
