fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:03:40.178819,Ulaanbaatar Hot,0.98,0.98,0.98,0.98,51,1,cielo claro,47.918,106.9176
2025-10-27T14:19:09.796174,Ulaanbaatar Hot,-10.02,-14.13,-10.02,-10.02,85,2,nubes dispersas,47.918,106.9176
2025-10-27T22:16:35.070528,Ulaanbaatar Hot,-10.02,-10.02,-10.02,-10.02,85,1,nubes dispersas,47.918,106.9176
2025-10-28T06:26:59.265641,Ulaanbaatar Hot,1.98,-1.12,1.98,1.98,51,3,algo de nubes,47.918,106.9176
2025-10-28T06:41:19.583095,Ulaanbaatar Hot,1.98,-1.12,1.98,1.98,51,3,algo de nubes,47.918,106.9176
2025-10-28T14:18:58.396594,Ulaanbaatar Hot,-7.02,-7.02,-7.02,-7.02,79,1,algo de nubes,47.918,106.9176
2025-10-28T22:17:40.424043,Ulaanbaatar Hot,-5.02,-5.02,-5.02,-5.02,86,1,nubes dispersas,47.918,106.9176
2025-10-29T06:27:22.114785,Ulaanbaatar Hot,-0.02,-4.94,-0.02,-0.02,69,5,nubes dispersas,47.918,106.9176
2025-10-29T06:46:18.759706,Ulaanbaatar Hot,-0.02,-4.94,-0.02,-0.02,69,5,nubes dispersas,47.918,106.9176
2025-10-29T06:51:59.962343,Ulaanbaatar Hot,-0.02,-4.94,-0.02,-0.02,69,5,nubes dispersas,47.918,106.9176
2025-10-29T06:58:51.885577,Ulaanbaatar Hot,0.98,-2.32,0.98,0.98,64,3,nubes dispersas,47.918,106.9176
2025-10-29T07:03:01.344031,Ulaanbaatar Hot,0.98,-2.32,0.98,0.98,64,3,nubes dispersas,47.918,106.9176
2025-10-29T07:10:33.470999,Ulaanbaatar Hot,0.98,-2.32,0.98,0.98,64,3,nubes dispersas,47.918,106.9176
2025-10-29T14:18:58.680631,Ulaanbaatar Hot,-7.02,-7.02,-7.02,-7.02,79,1,cielo claro,47.918,106.9176
2025-10-29T22:17:16.665829,Ulaanbaatar Hot,-7.02,-7.02,-7.02,-7.02,86,1,nubes dispersas,47.918,106.9176
2025-10-30T06:25:53.422594,Ulaanbaatar Hot,-0.02,-2.48,-0.02,-0.02,64,2,muy nuboso,47.918,106.9176
2025-10-30T14:18:02.142515,Ulaanbaatar Hot,-8.02,-8.02,-8.02,-8.02,79,1,cielo claro,47.918,106.9176
2025-10-30T22:17:03.744982,Ulaanbaatar Hot,-10.02,-14.13,-10.02,-10.02,85,2,cielo claro,47.918,106.9176
