fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:03:33.218058,Shanghai Municipality,18.88,18.26,18.88,18.88,55,5,cielo claro,31.2304,121.4737
2025-10-27T14:19:02.560801,Shanghai Municipality,15.88,14.96,15.88,15.88,55,3,cielo claro,31.2304,121.4737
2025-10-27T22:16:28.061447,Shanghai Municipality,12.88,11.97,12.88,12.88,67,3,cielo claro,31.2304,121.4737
2025-10-28T06:26:52.006872,Shanghai Municipality,19.88,18.97,19.88,19.88,40,3,cielo claro,31.2304,121.4737
2025-10-28T06:41:12.559778,Shanghai Municipality,19.88,18.97,19.88,19.88,40,3,cielo claro,31.2304,121.4737
2025-10-28T14:18:50.833674,Shanghai Municipality,14.88,14.07,14.88,14.88,63,2,cielo claro,31.2304,121.4737
2025-10-28T22:17:32.874773,Shanghai Municipality,11.88,11.26,11.88,11.88,82,2,cielo claro,31.2304,121.4737
2025-10-29T06:27:14.842494,Shanghai Municipality,21.88,21.25,21.88,21.88,43,6,algo de nubes,31.2304,121.4737
2025-10-29T06:46:11.123865,Shanghai Municipality,21.88,21.32,21.88,21.88,46,5,cielo claro,31.2304,121.4737
2025-10-29T06:51:52.294441,Shanghai Municipality,21.88,21.32,21.88,21.88,46,5,cielo claro,31.2304,121.4737
2025-10-29T06:58:44.699961,Shanghai Municipality,21.88,21.32,21.88,21.88,46,5,cielo claro,31.2304,121.4737
2025-10-29T07:02:54.306248,Shanghai Municipality,21.88,21.32,21.88,21.88,46,5,cielo claro,31.2304,121.4737
2025-10-29T07:10:26.413381,Shanghai Municipality,21.88,21.32,21.88,21.88,46,5,cielo claro,31.2304,121.4737
2025-10-29T14:18:51.694335,Shanghai Municipality,18.88,18.36,18.88,18.88,59,2,cielo claro,31.2304,121.4737
2025-10-29T22:17:09.086623,Shanghai Municipality,18.88,18.6,18.88,18.88,68,1,cielo claro,31.2304,121.4737
2025-10-30T06:25:46.376790,Shanghai Municipality,20.88,20.8,20.88,20.88,68,2,lluvia ligera,31.2304,121.4737
2025-10-30T14:17:54.943482,Shanghai Municipality,17.88,17.86,17.88,17.88,82,3,lluvia ligera,31.2304,121.4737
2025-10-30T22:16:56.515555,Shanghai Municipality,16.88,16.76,16.88,16.88,82,3,cielo claro,31.2304,121.4737
2025-10-31T06:25:59.463278,Shanghai Municipality,20.88,20.49,20.88,20.88,56,5,cielo claro,31.2304,121.4737
2025-10-31T14:18:00.372136,Shanghai Municipality,18.88,18.7,18.88,18.88,72,4,cielo claro,31.2304,121.4737
2025-10-31T22:16:51.316369,Shanghai Municipality,16.88,16.76,16.88,16.88,82,2,niebla,31.2304,121.4737
2025-11-01T06:23:18.277627,Shanghai Municipality,21.88,21.25,21.88,21.88,43,5,niebla,31.2304,121.4737
2025-11-01T14:14:57.851081,Shanghai Municipality,17.88,17.37,17.88,17.88,63,1,nubes,31.2304,121.4737
2025-11-01T22:15:35.860894,Shanghai Municipality,13.88,13.62,13.88,13.88,88,2,niebla,31.2304,121.4737
2025-11-02T06:24:20.656316,Shanghai Municipality,20.88,19.94,20.88,20.88,35,5,nubes dispersas,31.2304,121.4737
2025-11-02T14:15:15.447793,Shanghai Municipality,15.88,15.27,15.88,15.88,67,5,algo de nubes,31.2304,121.4737
2025-11-02T22:15:54.517315,Shanghai Municipality,11.88,10.74,11.88,11.88,62,3,cielo claro,31.2304,121.4737
