fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:01:42.339268,Logroño,3.72,-0.07,3.72,3.72,87,4.63,algo de nubes,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-27T14:17:08.048802,Logroño,17.72,16.38,17.72,17.72,32,5.14,cielo claro,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-27T22:14:37.157175,Logroño,4.72,4.72,4.72,4.72,87,1.03,cielo claro,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-28T06:24:56.939997,Logroño,1.72,1.72,1.72,1.72,93,0.51,bruma,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-28T06:39:21.070050,Logroño,1.72,1.72,1.72,1.72,93,0.51,bruma,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-28T14:16:52.015721,Logroño,17.72,16.64,17.72,17.72,42,3.09,cielo claro,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-28T22:15:33.164010,Logroño,8.72,8.72,8.72,8.72,81,1.03,cielo claro,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-29T06:25:19.468557,Logroño,10.72,10.28,10.72,10.72,93,6.69,nubes dispersas,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-29T06:44:09.835841,Logroño,10.72,10.28,10.72,10.72,93,6.17,muy nuboso,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-29T06:49:51.003659,Logroño,10.72,10.28,10.72,10.72,93,6.17,muy nuboso,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-29T06:56:50.837240,Logroño,10.72,10.28,10.72,10.72,93,6.17,muy nuboso,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-29T07:01:00.632322,Logroño,10.72,10.28,10.72,10.72,93,6.17,muy nuboso,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-29T07:08:34.838067,Logroño,10.72,10.28,10.72,10.72,93,6.17,muy nuboso,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-29T14:17:01.343892,Logroño,15.72,15.23,15.72,15.72,72,2.57,muy nuboso,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-29T22:15:10.468195,Logroño,12.72,12.5,12.72,12.72,94,0.0,nubes,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-30T06:23:55.028141,Logroño,8.72,8.72,8.72,8.72,100,1.03,bruma,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-30T14:16:00.448902,Logroño,19.72,19.03,19.72,19.72,49,1.03,algo de nubes,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-30T22:15:01.817624,Logroño,8.72,7.26,8.72,8.72,87,2.57,cielo claro,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-31T06:24:08.995732,Logroño,8.72,8.72,8.72,8.72,93,0.51,algo de nubes,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-31T14:16:05.872414,Logroño,20.72,19.81,20.72,20.72,37,2.57,algo de nubes,42.4658,-2.4486,0,10000,0.0,0.0
2025-10-31T22:15:00.796847,Logroño,17.72,16.91,17.72,17.72,52,3.09,nubes,42.4658,-2.4486,0,10000,0.0,0.0
2025-11-01T06:21:24.300109,Logroño,18.72,18.08,18.72,18.72,55,5.66,nubes,42.4658,-2.4486,0,10000,0.0,0.0
2025-11-01T14:13:02.520249,Logroño,19.72,19.21,19.72,19.72,56,1.03,cielo claro,42.4658,-2.4486,0,10000,0.0,0.0
2025-11-01T22:13:41.803437,Logroño,13.72,13.6,13.72,13.72,94,3.6,muy nuboso,42.4658,-2.4486,0,10000,0.0,0.0
2025-11-02T06:22:26.725420,Logroño,7.72,7.72,7.72,7.72,100,0.51,cielo claro,42.4658,-2.4486,0,10000,0.0,0.0
2025-11-02T14:13:14.610784,Logroño,15.72,14.6,15.72,15.72,48,7.72,cielo claro,42.4658,-2.4486,0,10000,0.0,0.0
2025-11-02T22:14:00.353768,Logroño,7.72,7.72,7.72,7.72,87,0.51,algo de nubes,42.4658,-2.4486,0,10000,0.0,0.0
2025-11-03T06:25:41.310692,Logroño,4.72,2.51,4.72,4.72,87,2.57,cielo claro,42.4658,-2.4486,0,10000,0.0,0.0
2025-11-03T14:16:20.606836,Logroño,18.72,17.67,18.72,18.72,39,4.12,cielo claro,42.4658,-2.4486,0,10000,0.0,0.0
2025-11-03T22:15:50.994889,Logroño,6.72,5.86,6.72,6.72,81,1.54,cielo claro,42.4658,-2.4486,0,10000,0.0,0.0
2025-11-04T06:24:53.686503,Logroño,1.72,0.15,1.72,1.72,93,1.54,cielo claro,42.4658,-2.4486,0,10000,0.0,0.0
2025-11-04T14:16:55.528150,Logroño,18.72,17.82,18.72,18.72,45,3.6,cielo claro,42.4658,-2.4486,0,10000,0.0,0.0
2025-11-04T22:14:48.622633,Logroño,14.72,13.76,14.72,14.72,58,7.2,cielo claro,42.4658,-2.4486,0,10000,0.0,0.0
