fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:04:02.189029,Downtown Toronto,4.48,1.15,2.55,4.89,70,4.12,cielo claro,43.6532,-79.3832
2025-10-27T14:19:32.720418,Downtown Toronto,6.38,2.58,5.61,7.69,69,6.17,muy nuboso,43.6532,-79.3832
2025-10-27T22:16:57.190740,Downtown Toronto,8.27,4.54,7.82,9.06,70,7.6,algo de nubes,43.6532,-79.3832
2025-10-28T06:27:22.259986,Downtown Toronto,6.18,3.55,4.36,7.15,81,3.58,algo de nubes,43.6532,-79.3832
2025-10-28T06:41:42.150649,Downtown Toronto,5.85,2.65,4.36,7.15,81,4.47,cielo claro,43.6532,-79.3832
2025-10-28T14:19:22.119178,Downtown Toronto,8.09,4.27,7.24,9.01,83,7.72,nubes,43.6532,-79.3832
2025-10-28T22:18:04.308820,Downtown Toronto,9.78,5.86,8.94,10.68,71,10.28,cielo claro,43.6532,-79.3832
2025-10-29T06:27:45.137704,Downtown Toronto,6.2,1.11,5.47,7.34,72,10.28,algo de nubes,43.6532,-79.3832
2025-10-29T06:46:42.978807,Downtown Toronto,6.04,0.9,5.47,7.15,73,10.28,nubes dispersas,43.6532,-79.3832
2025-10-29T06:52:24.207077,Downtown Toronto,6,0.84,5.07,7.15,73,10.28,nubes dispersas,43.6532,-79.3832
2025-10-29T06:59:14.637046,Downtown Toronto,6,0.84,5.07,7.15,73,10.28,nubes dispersas,43.6532,-79.3832
2025-10-29T07:03:23.612491,Downtown Toronto,6,0.84,5.07,7.15,73,10.28,nubes dispersas,43.6532,-79.3832
2025-10-29T07:10:55.748149,Downtown Toronto,5.62,0.34,4.91,6.79,74,10.28,nubes dispersas,43.6532,-79.3832
