fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:03:48.292898,Guará,19.79,19.6,19.79,19.79,68,0.0,cielo claro,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-27T14:19:18.267300,Guará,28.94,28.3,28.79,30.06,37,5.66,algo de nubes,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-27T22:16:43.224406,Brasília,24.2,24.03,23.95,24.2,52,1.62,muy nuboso,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-28T06:27:07.743136,Guará,19.78,19.67,18.39,19.79,71,1.54,muy nuboso,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-28T06:41:27.797073,Guará,19.6,19.52,18.64,19.79,73,1.54,muy nuboso,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-28T14:19:07.136951,Guará,28.01,27.54,27.79,29.5,38,5.14,cielo claro,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-28T22:17:49.202308,Guará,28.49,27.82,26.17,28.79,36,2.57,cielo claro,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-29T06:27:30.597869,Guará,20.79,20.83,19.2,20.79,73,0.0,cielo claro,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-29T06:46:27.682322,Guará,20.79,20.83,19.76,20.79,73,0.0,cielo claro,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-29T06:52:08.900324,Guará,20.79,20.83,19.76,20.79,73,0.0,cielo claro,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-29T06:59:00.262271,Guará,19.79,19.73,19.76,19.79,73,0.0,cielo claro,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-29T07:03:09.534683,Guará,19.79,19.73,19.2,19.79,73,0.0,cielo claro,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-29T07:10:41.662605,Guará,19.79,19.73,19.76,19.79,73,0.0,cielo claro,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-29T14:19:06.822051,Brasília,29.96,28.65,29.79,31.73,29,3.09,nubes dispersas,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-29T22:17:25.358475,Guará,25.87,25.74,25.06,25.87,47,2.04,nubes dispersas,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-30T06:26:01.623022,Guará,23.58,23.53,20.62,23.79,59,1.54,cielo claro,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-30T14:18:10.558267,Guará,27.79,28.3,27.79,27.79,51,3.6,cielo claro,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-30T22:17:12.155818,Guará,21.79,22.06,21.79,21.98,78,5.14,muy nuboso,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-31T06:26:14.545585,Guará,20.71,20.9,19.5,20.79,79,2.06,cielo claro,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-31T14:18:16.007135,Guará,19.79,20.44,19.79,19.79,100,1.54,niebla,-15.7942,-47.8825,0,10000,0.0,0.0
2025-10-31T22:17:06.407980,Guará,22.65,23.06,21.73,22.79,80,2.57,cielo claro,-15.7942,-47.8825,0,10000,0.0,0.0
2025-11-01T06:23:33.843870,Guará,21.46,21.67,19.5,21.79,77,2.57,muy nuboso,-15.7942,-47.8825,0,10000,0.0,0.0
2025-11-01T14:15:13.594524,Guará,25.14,25.33,24.79,26.98,62,5.14,nubes dispersas,-15.7942,-47.8825,0,10000,0.0,0.0
2025-11-01T22:15:51.432360,Guará,26.79,27.45,25.06,26.79,54,3.09,nubes dispersas,-15.7942,-47.8825,0,10000,0.0,0.0
2025-11-02T06:24:36.240080,Guará,18.64,18.83,17.28,18.64,87,1.13,nubes dispersas,-15.7942,-47.8825,0,10000,0.0,0.0
2025-11-02T14:15:31.990140,Guará,30.31,30.58,30.31,30.62,44,3.17,nubes dispersas,-15.7942,-47.8825,0,10000,0.0,0.0
2025-11-02T22:16:10.100030,Guará,23.79,24.39,23.79,25.87,83,1.03,muy nuboso,-15.7942,-47.8825,0,10000,0.0,0.0
2025-11-03T06:27:56.100299,Guará,19.69,20.27,19.2,19.79,98,5.14,llovizna ligera,-15.7942,-47.8825,0,10000,0.0,0.0
2025-11-03T14:18:30.090816,Guará,18.85,19.35,18.79,19.2,98,2.57,tormenta con lluvia ligera,-15.7942,-47.8825,0,10000,0.0,0.0
2025-11-03T22:17:58.032707,Guará,20.71,21.13,20.31,20.79,88,1.03,muy nuboso,-15.7942,-47.8825,0,10000,0.0,0.0
2025-11-04T06:26:59.128866,Guará,19.51,19.4,16.73,19.79,72,1.03,cielo claro,-15.7942,-47.8825,0,10000,0.0,0.0
2025-11-04T14:19:02.588335,Guará,24.96,25.29,24.79,26.73,68,4.12,muy nuboso,-15.7942,-47.8825,0,10000,0.0,0.0
2025-11-04T22:16:55.703922,Guará,23.85,24.17,23.39,24.2,72,2.06,muy nuboso,-15.7942,-47.8825,0,10000,0.0,0.0
