fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:02:13.227499,Vallelado,4.71,4.71,4.71,4.71,79,1.12,cielo claro,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-27T14:17:39.352110,Vallelado,15.54,14.4,15.54,15.54,48,1.56,cielo claro,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-27T22:15:07.485973,Vallelado,8.18,7.67,8.18,8.18,72,1.42,cielo claro,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-28T06:25:28.463952,Vallelado,3.7,2.7,3.7,3.7,74,1.34,cielo claro,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-28T06:39:51.598627,Vallelado,4.01,2.74,4.01,4.01,64,1.56,cielo claro,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-28T14:17:24.555087,Vallelado,17.38,16.04,17.38,17.38,33,1.9,nubes,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-28T22:16:05.932056,Vallelado,11.5,10.3,11.5,11.5,61,3.95,lluvia ligera,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-29T06:25:50.983332,Vallelado,9.05,7.08,9.05,9.05,91,3.52,nubes,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-29T06:44:43.025269,Vallelado,8.64,6.55,8.64,8.64,92,3.57,nubes,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-29T06:50:24.204477,Vallelado,8.64,6.55,8.64,8.64,92,3.57,nubes,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-29T06:57:22.045404,Vallelado,8.64,6.55,8.64,8.64,92,3.57,nubes,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-29T07:01:33.189200,Vallelado,8.64,6.55,8.64,8.64,92,3.57,nubes,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-29T07:09:05.388841,Vallelado,8.64,6.55,8.64,8.64,92,3.57,nubes,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-29T14:17:31.623888,Vallelado,14.18,13.35,14.18,14.18,65,4.77,nubes,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-29T22:15:42.953253,Vallelado,10.96,10.3,10.96,10.96,84,2.09,algo de nubes,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-30T06:24:25.493256,Vallelado,8.86,8.0,8.86,8.86,86,1.85,algo de nubes,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-30T14:16:31.794052,Vallelado,15.33,14.67,15.33,15.33,67,5.72,cielo claro,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-30T22:15:33.352940,Vallelado,11.19,10.45,11.19,11.19,80,3.75,nubes,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-31T06:24:39.249130,Vallelado,9.43,8.11,9.43,9.43,84,2.55,nubes,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-31T14:16:37.157158,Vallelado,13.1,12.42,13.1,13.1,75,3.19,lluvia ligera,41.4044,-4.4266,0,10000,0.0,0.0
2025-10-31T22:15:31.019678,Vallelado,13.03,12.4,13.03,13.03,77,6.43,nubes,41.4044,-4.4266,0,10000,0.0,0.0
2025-11-01T06:21:55.508244,Vallelado,12.02,11.39,12.02,12.02,81,6.54,nubes,41.4044,-4.4266,0,10000,0.0,0.0
