fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:01:59.160163,Salamanca,3.77,2.17,3.77,5.81,20,1.79,cielo claro,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-27T14:17:24.910619,Salamanca,14.7,12.54,14.7,17.79,12,2.06,cielo claro,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-27T22:14:53.467554,Salamanca,9.47,8.76,5.79,10.81,12,1.79,cielo claro,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-28T06:25:13.909016,Salamanca,5.99,5.99,5.99,6.37,17,0.45,algo de nubes,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-28T06:39:37.506126,Salamanca,6.37,6.37,0.79,6.37,20,0.0,cielo claro,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-28T14:17:09.509753,Salamanca,16.55,14.55,16.55,17.48,11,1.34,nubes,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-28T22:15:50.820061,Salamanca,14.79,12.9,12.79,14.88,22,5.66,lluvia ligera,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-29T06:25:36.431831,Salamanca,12.84,11.04,11.79,13.03,33,4.92,muy nuboso,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-29T06:44:27.701635,Salamanca,12.57,10.74,11.79,12.66,33,4.92,muy nuboso,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-29T06:50:08.887429,Salamanca,12.28,10.45,11.79,12.48,34,4.92,muy nuboso,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-29T06:57:07.638218,Salamanca,12.28,10.45,11.79,12.48,34,4.92,muy nuboso,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-29T07:01:17.061420,Salamanca,12.28,10.45,11.79,12.48,34,4.92,muy nuboso,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-29T07:08:51.286767,Salamanca,12.28,10.45,11.79,12.48,34,4.92,muy nuboso,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-29T14:17:17.644852,Salamanca,16.73,14.82,16.55,16.92,14,4.92,muy nuboso,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-29T22:15:27.909614,Salamanca,9.32,6.77,8.79,9.32,16,4.92,cielo claro,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-30T06:24:11.430920,Salamanca,10.89,8.9,8.79,11.37,33,2.06,niebla,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-30T14:16:17.308450,Salamanca,15.89,13.9,15.44,16.37,14,8.94,algo de nubes,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-30T22:15:18.774861,Salamanca,12.55,10.28,9.79,13.03,16,10.28,algo de nubes,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-31T06:24:25.267375,Salamanca,12.0,9.93,11.55,12.79,26,10.28,nubes dispersas,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-31T14:16:22.724675,Salamanca,14.77,12.72,13.79,15.26,16,12.52,muy nuboso,40.9688,-5.6639,0,10000,0.0,0.0
2025-10-31T22:15:17.084463,Salamanca,13.95,12.05,13.77,14.14,25,12.52,nubes,40.9688,-5.6639,0,10000,0.0,0.0
2025-11-01T06:21:41.098246,Salamanca,13.39,11.7,11.79,13.59,35,12.52,niebla,40.9688,-5.6639,0,10000,0.0,0.0
2025-11-01T14:13:19.485509,Salamanca,13.66,12.02,12.79,14.14,36,12.52,llovizna,40.9688,-5.6639,0,10000,0.0,0.0
