fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:03:47.132969,Santa Barbara Central,13.99,13.74,13.99,13.99,88,2.06,nubes dispersas,4.711,-74.0721
2025-10-27T14:19:17.045203,Santa Barbara Central,13.96,13.87,13.86,13.97,94,2.68,nubes,4.711,-74.0721
2025-10-27T22:16:42.049800,Santa Barbara Central,15.37,15.29,14.95,15.64,89,5.36,llovizna,4.711,-74.0721
2025-10-28T06:27:06.529882,Santa Barbara Central,11.97,11.81,10.99,13.3,99,1.54,nubes,4.711,-74.0721
2025-10-28T06:41:26.618591,Santa Barbara Central,11.97,11.81,10.99,13.3,99,1.54,muy nuboso,4.711,-74.0721
2025-10-28T14:19:05.888928,Santa Barbara Central,14.51,14.47,13.86,14.99,94,2.68,nubes dispersas,4.711,-74.0721
2025-10-28T22:17:47.917667,Santa Barbara Central,15.47,14.87,14.95,15.64,69,4.02,nubes,4.711,-74.0721
2025-10-29T06:27:29.390230,Santa Barbara Central,12.13,11.88,11.62,12.3,95,1.34,nubes,4.711,-74.0721
2025-10-29T06:46:26.412437,Santa Barbara Central,11.84,11.56,11.62,12.3,95,1.79,nubes,4.711,-74.0721
2025-10-29T06:52:07.626518,Santa Barbara Central,11.84,11.56,11.62,12.3,95,1.79,nubes,4.711,-74.0721
2025-10-29T06:58:59.062557,Santa Barbara Central,11.84,11.56,11.62,12.3,95,1.79,nubes,4.711,-74.0721
2025-10-29T07:03:08.361107,Santa Barbara Central,11.7,11.41,11.62,11.74,95,1.79,nubes,4.711,-74.0721
2025-10-29T07:10:40.489904,Santa Barbara Central,11.53,11.22,11.06,11.74,95,1.79,nubes,4.711,-74.0721
2025-10-29T14:19:05.657705,Santa Barbara Central,13.99,13.9,13.99,13.99,94,3.09,muy nuboso,4.711,-74.0721
2025-10-29T22:17:24.099875,Santa Barbara Central,16.58,15.91,16.06,16.75,62,5.36,muy nuboso,4.711,-74.0721
2025-10-30T06:26:00.448067,Santa Barbara Central,11.28,11.02,11.06,11.75,98,1.34,muy nuboso,4.711,-74.0721
2025-10-30T14:18:09.359678,Santa Barbara Central,15.18,14.63,14.52,15.99,72,2.24,nubes dispersas,4.711,-74.0721
2025-10-30T22:17:10.954250,Santa Barbara Central,15.97,15.42,15.53,16.99,69,3.6,muy nuboso,4.711,-74.0721
2025-10-31T06:26:13.381785,Santa Barbara Central,12.22,12.11,11.99,12.75,100,2.68,muy nuboso,4.711,-74.0721
2025-10-31T14:18:14.790899,Santa Barbara Central,15.05,14.75,14.97,15.08,82,3.13,nubes,4.711,-74.0721
